"day","timeout_multiplier"
1,0.930517311047944
2,0.939891717792001
3,0.949183208600081
4,0.958308867536205
5,0.967185778664398
6,0.975731026048682
7,0.98386169375308
8,0.991494865841614
9,0.998547626378307
10,1.00493705942718
11,1.01058024905226
12,1.01539427931757
13,1.01929623428713
14,1.02220319802496
15,1.02403225459509
16,1.02470048806153
17,1.02412534831327
18,1.02224623473623
19,1.01903656843667
20,1.01447269712041
21,1.0085309684933
22,1.00118773026117
23,0.992419330129856
24,0.982202115805192
25,0.970512434993017
26,0.957326635399166
27,0.942621064729476
28,0.926372070689783
29,0.908556000985923
30,0.889149203323732
31,0.868128025409046
32,0.845468814947702
33,0.821164612176855
34,0.795402508010247
35,0.768494787346513
36,0.740755821650707
37,0.712499982387877
38,0.684041641023077
39,0.655695169021355
40,0.627774937847765
41,0.600595318967357
42,0.574470683845182
43,0.549715403946292
44,0.526643850735738
45,0.50557039567857
46,0.48680941023984
47,0.4706752658846
48,0.457482334077899
49,0.447445517447067
50,0.440381843268534
51,0.436008869981008
52,0.434044156023198
53,0.434205259833812
54,0.436209739851557
55,0.439775154515141
56,0.444619062263273
57,0.450459021534659
58,0.457012590768011
59,0.463997328402032
60,0.471130792875433
61,0.478130542626922
62,0.484714136095206
63,0.490599131718994
64,0.495505639436675
65,0.499306859167605
66,0.502113280301632
67,0.504055804226066
68,0.505265332328217
69,0.505872765995397
70,0.506009006614915
71,0.50580495557408
72,0.505391514260204
73,0.504899584060597
74,0.50446006636257
75,0.504203862553431
76,0.504261874020492
77,0.504765002151063
78,0.505844148332454
79,0.507630213951976
80,0.510243279689435
81,0.513677635499916
82,0.517846416032232
83,0.522661403346757
84,0.528034379503864
85,0.533877126563929
86,0.540101426587324
87,0.546619061634426
88,0.553341813765607
89,0.560181465041241
90,0.567049797521704
91,0.573858593267369
92,0.58051963433861
93,0.586944702795802
94,0.59304558069932
95,0.598734050109535
96,0.60394230884839
97,0.608684217784081
98,0.612994053546376
99,0.616906092765038
100,0.620454612069832
101,0.623673888090522
102,0.626598197456873
103,0.629261816798651
104,0.631699022745618
105,0.633944091927542
106,0.636031300974184
107,0.637994926515311
108,0.639869245180687
109,0.641688533600077
110,0.643487068403245
111,0.645298990553606
112,0.647150301033567
113,0.649054383854974
114,0.651023537698873
115,0.653070061246308
116,0.655206253178324
117,0.657444412175966
118,0.65979683692028
119,0.66227582609231
120,0.664893678373102
121,0.6676626924437
122,0.67059516698515
123,0.673703400678496
124,0.676999692204784
125,0.680496340245058
126,0.684205643480364
127,0.688138571252826
128,0.692290639339605
129,0.696647393475956
130,0.701194213229766
131,0.705916478168923
132,0.710799567861315
133,0.715828861874829
134,0.720989739777353
135,0.726267581136775
136,0.731647765520983
137,0.737115672497864
138,0.742656681635306
139,0.748256172501197
140,0.753899524663425
141,0.759572117689878
142,0.765259331148443
