"day","timeout_multiplier"
1,0.875158208268938
2,0.937579102907083
3,0.937579102907083
4,0.937579102907083
5,0.937579102907083
6,0.906368655588011
7,0.937579102907083
8,0.957642961897916
9,0.962101597229211
10,0.966560232560508
11,0.971018867891803
12,0.973248185557451
13,0.977706820888748
14,0.982165456220044
15,0.984394773885692
16,0.984394773885692
17,0.984394773885692
18,0.984394773885692
19,0.984394773885692
20,0.982165456220044
21,0.979936138554397
22,0.977706820888748
23,0.973248185557452
24,0.968789550226156
25,0.955413644232268
26,0.937579102907083
27,0.917515243916251
28,0.892992749594122
29,0.870699572937642
30,0.855094349278106
31,0.826113219624682
32,0.781526866311721
33,0.730252560001817
34,0.678978253691912
35,0.627703947382007
36,0.589805547065991
37,0.560824417412566
38,0.51177942876831
39,0.471651710786646
40,0.435982628136277
41,0.402542863151556
42,0.369103098166836
43,0.351268556841652
44,0.335663333182115
45,0.315599474191283
46,0.30891152119434
47,0.306682203528692
48,0.306682203528691
49,0.297764932866099
50,0.299994250531747
51,0.299994250531748
52,0.291076979869156
53,0.291076979869156
54,0.293306297534804
55,0.295535615200451
56,0.293306297534804
57,0.293306297534803
58,0.293306297534804
59,0.293306297534804
60,0.295535615200452
61,0.297764932866099
62,0.297764932866099
63,0.306682203528691
64,0.308911521194339
65,0.313370156525635
66,0.326746062519524
67,0.33120469785082
68,0.328975380185172
69,0.326746062519524
70,0.333434015516468
71,0.335663333182116
72,0.335663333182115
73,0.340121968513412
74,0.337892650847763
75,0.342351286179059
76,0.346809921510355
77,0.342351286179059
78,0.344580603844707
79,0.344580603844708
80,0.346809921510357
81,0.349039239176005
82,0.355727192172949
83,0.366873780501188
84,0.373561733498131
85,0.382479004160723
86,0.389166957157668
87,0.395854910154612
88,0.407001498482852
89,0.413689451479797
90,0.420377404476739
91,0.433753310470628
92,0.438211945801924
93,0.447129216464516
94,0.447129216464516
95,0.456046487127109
96,0.464963757789701
97,0.469422393120997
98,0.476110346117942
99,0.480568981449237
100,0.487256934446182
101,0.493944887443126
102,0.50063284044007
103,0.498403522774422
104,0.50063284044007
105,0.507320793437014
106,0.509550111102662
107,0.511779428768309
108,0.52292601709655
109,0.525155334762198
110,0.525155334762198
111,0.52292601709655
112,0.520696699430902
113,0.518467381765253
114,0.520696699430901
115,0.522926017096549
116,0.52292601709655
117,0.529613970093494
118,0.529613970093494
119,0.53407260542479
120,0.542989876087382
121,0.547448511418678
122,0.551907146749975
123,0.558595099746919
124,0.569741688075159
125,0.580888276403399
126,0.589805547065991
127,0.594264182397287
128,0.594264182397287
129,0.594264182397287
130,0.596493500062935
131,0.603181453059879
132,0.612098723722471
133,0.614328041388119
134,0.616557359053768
135,0.618786676719415
136,0.62547462971636
137,0.627703947382007
138,0.627703947382007
139,0.629933265047656
140,0.638850535710247
141,0.649997124038488
142,0.661143712366728
143,0.667831665363672
144,0.674519618360616
145,0.678978253691912
146,0.685666206688856
147,0.696812795017096
148,0.70350074801404
149,0.707959383345335
150,0.712418018676632
151,0.716876654007929
152,0.723564607004873
153,0.728023242336169
154,0.728023242336169
155,0.723564607004873
156,0.721335289339224
157,0.719105971673577
158,0.723564607004873
159,0.728023242336169
160,0.732481877667465
161,0.734711195333113
162,0.73694051299876
163,0.739169830664409
164,0.739169830664409
165,0.739169830664409
166,0.736940512998761
167,0.739169830664408
168,0.745857783661354
169,0.754775054323945
170,0.759233689655241
171,0.765921642652185
172,0.770380277983481
173,0.772609595649129
174,0.770380277983481
175,0.768150960317833
176,0.765921642652185
177,0.763692324986537
178,0.763692324986537
179,0.765921642652185
180,0.763692324986537
181,0.765921642652185
182,0.761463007320889
183,0.761463007320889
184,0.759233689655242
185,0.761463007320889
186,0.757004371989594
187,0.759233689655242
188,0.757004371989594
189,0.759233689655242
190,0.765921642652185
191,0.772609595649129
192,0.765921642652185
193,0.770380277983481
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
