Date,OriginalCases
2020-03-22,768.1887626727046
2020-03-29,1417.5663510486272
2020-04-05,2062.7349515922033
2020-04-12,2467.5412202204725
2020-04-19,2428.151379713796
2020-04-26,2131.461912126013
2020-05-03,1535.7390408566687
2020-05-10,908.5248813322514
2020-05-17,451.50002564318936
2020-05-24,203.49686334744206
2020-05-31,66.48821173827154
2020-06-07,17.261908233523673
2020-06-14,3.471104802918556
2020-06-21,6.686966510958396
2020-06-28,13.298598871139273
2020-07-05,22.22660998893158
2020-07-12,25.775162941416976
2020-07-19,26.540762279613507
2020-07-26,19.767655756058723
2020-08-02,27.994260028217944
2020-08-09,66.0029372378981
2020-08-16,122.57276962420222
2020-08-23,140.15918396487595
2020-08-30,103.66883861383079
2020-09-06,132.63024920370262
2020-09-13,711.3308007569518
2020-09-20,2321.1145428955415
2020-09-27,4671.78336650124
2020-10-04,6434.147216733895
2020-10-11,6989.98678199443
2020-10-18,7293.063891921327
2020-10-25,8076.032449899094
2020-11-01,9059.372062498942
2020-11-08,9410.844583705217
2020-11-15,8572.181832988108
2020-11-22,7420.2297324423525
2020-11-29,7170.086622405175
2020-12-06,8459.675984263795
2020-12-13,10998.544736205664
2020-12-20,13951.572600486823
2020-12-27,16704.197576537856
2021-01-03,17716.017401736426
2021-01-10,15691.730520354016
2021-01-17,11706.062111827638
2021-01-24,7792.839349225734
2021-01-31,5103.77298087867
2021-02-07,3491.385822869794
2021-02-14,2474.1496713225933
2021-02-21,1850.983787900016
2021-02-28,1463.0488132793564
2021-03-07,1136.7654550526263
2021-03-14,851.8010920248684
2021-03-21,635.4860759295334
2021-03-28,455.3345101334266
2021-04-04,325.1260565221355
2021-04-11,254.03600016776883
2021-04-18,241.1258264275953
