Date,OriginalCases
2020-03-20,591.1264115895534
2020-03-27,1271.7752670961834
2020-04-03,2012.239343123797
2020-04-10,2527.8958235939954
2020-04-17,2584.768611164515
2020-04-24,2278.433809869764
2020-05-01,1660.838859880464
2020-05-08,995.2191177533944
2020-05-15,498.9373592059671
2020-05-22,213.49108060603697
2020-05-29,65.27195297365236
2020-06-05,14.744373666939632
2020-06-12,3.557938368721667
2020-06-19,6.1584466353781195
2020-06-26,12.365811663074442
2020-07-03,21.337683797002306
2020-07-10,25.593987793735888
2020-07-17,26.865944305417315
2020-07-24,19.922951494055813
2020-07-31,22.196742518936883
2020-08-07,50.14463341187947
2020-08-14,99.72718607383874
2020-08-21,124.81686305281232
2020-08-28,95.53683228436492
2020-09-04,87.79722145690745
2020-09-11,523.6993894720717
2020-09-18,1910.7427884424892
2020-09-25,4134.262096923551
2020-10-02,6054.254621090901
2020-10-09,6802.993204697394
2020-10-16,7080.368206045898
2020-10-23,7752.5806386228305
2020-10-30,8793.167103246766
2020-11-06,9403.344245843515
2020-11-13,8821.724403616014
2020-11-20,7692.446655784621
2020-11-27,7188.16383313963
2020-12-04,8095.703614853526
2020-12-11,10298.877600043343
2020-12-18,13079.220279236233
2020-12-25,16058.35637882894
2021-01-01,17771.927038963273
2021-01-08,16490.595032705533
2021-01-15,12764.030150230747
2021-01-22,8671.72158892301
2021-01-29,5698.939170205276
2021-02-05,3916.9092321652665
2021-02-12,2758.18053917385
2021-02-19,1994.6449030573308
2021-02-26,1522.3912796183447
2021-03-05,1226.7544218380783
2021-03-12,960.5923560334903
2021-03-19,716.5259399773644
2021-03-26,500.2873801428726
2021-04-02,355.14652404684597
2021-04-09,286.9988630096505
2021-04-16,282.2933469588346
2021-04-23,324.2251155174616
2021-04-30,47.62910315974532
