"","CTYUA19CD","CTYUA19NM","long","lat","date","cumulative_cases","daily_total","daily_unknown"
"84","E10000008","Devon",-3.65701,50.725559,2020-05-29,812,151982,6260
"85","E10000008","Devon",-3.65701,50.725559,2020-05-30,812,151856,6289
"86","E10000008","Devon",-3.65701,50.725559,2020-05-31,814,152176,6298
"87","E10000008","Devon",-3.65701,50.725559,2020-06-01,815,152470,6302
"88","E10000008","Devon",-3.65701,50.725559,2020-06-02,817,152914,6332
"89","E10000008","Devon",-3.65701,50.725559,2020-06-03,820,153376,6338
"90","E10000008","Devon",-3.65701,50.725559,2020-06-04,821,153807,6350
"91","E10000008","Devon",-3.65701,50.725559,2020-06-05,822,154258,6366
"92","E10000008","Devon",-3.65701,50.725559,2020-06-06,822,154680,6382
"93","E10000008","Devon",-3.65701,50.725559,2020-06-07,822,154908,6379
"94","E10000008","Devon",-3.65701,50.725559,2020-06-08,823,155000,6400
"95","E10000008","Devon",-3.65701,50.725559,2020-06-09,823,155651,6398
"96","E10000008","Devon",-3.65701,50.725559,2020-06-10,824,155714,6423
"97","E10000008","Devon",-3.65701,50.725559,2020-06-11,824,156018,6421
"98","E10000008","Devon",-3.65701,50.725559,2020-06-12,824,156410,6466
"99","E10000008","Devon",-3.65701,50.725559,2020-06-13,826,156782,6476
"100","E10000008","Devon",-3.65701,50.725559,2020-06-14,826,157074,6470
"101","E10000008","Devon",-3.65701,50.725559,2020-06-15,826,157293,6474
"102","E10000008","Devon",-3.65701,50.725559,2020-06-16,827,157545,6468
"103","E10000008","Devon",-3.65701,50.725559,2020-06-17,827,157797,6485
