Date,OriginalCases
2020-03-22,715.8567268677986
2020-03-29,1419.7594538675376
2020-04-05,2077.646412803921
2020-04-12,2499.510275875722
2020-04-19,2442.7614457793097
2020-04-26,2153.012287608285
2020-05-03,1536.343272595066
2020-05-10,895.4504752978264
2020-05-17,434.576944096316
2020-05-24,196.12416529177514
2020-05-31,59.9651168367114
2020-06-07,14.92516237282222
2020-06-14,2.179759927780379
2020-06-21,6.541846535473945
2020-06-28,13.020554456963962
2020-07-05,22.657433297162534
2020-07-12,25.871455630011422
2020-07-19,27.221238643263376
2020-07-26,18.514088241566053
2020-08-02,25.84758118859264
2020-08-09,64.35036554950646
2020-08-16,125.33928764535598
2020-08-23,144.26546148098336
2020-08-30,101.00394600178952
2020-09-06,93.73231857449618
2020-09-13,636.5061804629798
2020-09-20,2264.2437456981675
2020-09-27,4714.432398702222
2020-10-04,6523.513402300542
2020-10-11,7004.506212452841
2020-10-18,7254.923329112205
2020-10-25,8059.655716946331
2020-11-01,9103.260380924063
2020-11-08,9501.421824029865
2020-11-15,8598.89170930401
2020-11-22,7360.009742744171
2020-11-29,7063.430527740102
2020-12-06,8373.591783732876
2020-12-13,10973.257666368243
2020-12-20,13958.131454700948
2020-12-27,16819.97537807974
2021-01-03,17932.492540297917
2021-01-10,15829.532446097057
2021-01-17,11700.075103876668
2021-01-24,7706.781521485731
2021-01-31,5030.400940905364
2021-02-07,3452.918621004191
2021-02-14,2447.1785941650783
2021-02-21,1834.1394628766227
2021-02-28,1459.4046833828947
2021-03-07,1133.9360719749102
2021-03-14,846.5134203912253
2021-03-21,632.9564859547221
2021-03-28,451.43229864007594
2021-04-04,320.8750289491614
2021-04-11,249.24174200407668
2021-04-18,239.90512898552228
