"day","cases"
2020-12-10,580383
2020-12-11,593467
2020-12-12,606550
2020-12-13,619633
2020-12-14,632717
2020-12-15,645800
2020-12-16,676820
2020-12-17,707840
2020-12-18,738860
2020-12-19,769880
2020-12-20,800900
2020-12-21,833010
2020-12-22,865120
2020-12-23,897230
2020-12-24,929340
2020-12-25,961450
2020-12-26,993560
2020-12-27,1025670
2020-12-28,1057780
2020-12-29,1089890
2020-12-30,1122000
2020-12-31,1123843
2021-01-01,1125686
2021-01-02,1127529
2021-01-03,1129371
2021-01-04,1131214
2021-01-05,1133057
2021-01-06,1134900
2021-01-07,1119014
2021-01-08,1103129
2021-01-09,1087243
2021-01-10,1071357
2021-01-11,1055471
2021-01-12,1039586
2021-01-13,1023700
2021-01-14,1022986
2021-01-15,1022271
2021-01-16,1021557
2021-01-17,1020843
2021-01-18,1020129
2021-01-19,1019414
2021-01-20,1018700
2021-01-21,994157
2021-01-22,969614
2021-01-23,945071
2021-01-24,920529
2021-01-25,895986
2021-01-26,871443
2021-01-27,846900
2021-01-28,825257
2021-01-29,803614
2021-01-30,781971
2021-01-31,760329
2021-02-01,738686
2021-02-02,717043
2021-02-03,695400
2021-02-04,659717
2021-02-05,624033
2021-02-06,588350
2021-02-07,552667
2021-02-08,516983
2021-02-09,481300
2021-02-10,465929
2021-02-11,450557
2021-02-12,435186
2021-02-13,419814
2021-02-14,404443
2021-02-15,389071
2021-02-16,373700
2021-02-17,358000
2021-02-18,342300
2021-02-19,326600
2021-02-20,310900
2021-02-21,295200
2021-02-22,279500
2021-02-23,263800
2021-02-24,248100
2021-02-25,241314
2021-02-26,234529
2021-02-27,227743
2021-02-28,220957
2021-03-01,214171
2021-03-02,207386
2021-03-03,200600
2021-03-04,194829
2021-03-05,189057
2021-03-06,183286
2021-03-07,177514
2021-03-08,171743
2021-03-09,165971
2021-03-10,160200
2021-03-11,160529
2021-03-12,160857
2021-03-13,161186
2021-03-14,161514
2021-03-15,161843
2021-03-16,162171
2021-03-17,162500
2021-03-18,160443
2021-03-19,158386
2021-03-20,156329
2021-03-21,154271
2021-03-22,152214
2021-03-23,150157
2021-03-24,148100
2021-03-25,150071
2021-03-26,152043
2021-03-27,154014
2021-03-28,155986
2021-03-29,157957
2021-03-30,159929
2021-03-31,161900
2021-04-01,154857
2021-04-02,147814
2021-04-03,140771
2021-04-04,133729
2021-04-05,126686
2021-04-06,119643
2021-04-07,112600
2021-04-08,108833
2021-04-09,105067
2021-04-10,101300
2021-04-11,97533
2021-04-12,93767
2021-04-13,90000
