Easting,Northing,Num,Code,Desc
1,1,1,E02002183,Medium
1,1,2,E02002184,Medium
1,1,3,E02002185,Medium
1,1,4,E02002186,Medium
1,1,5,E02002187,Medium
1,1,6,E02002188,Medium
1,1,7,E02002189,Medium
1,1,8,E02002190,Medium
1,1,9,E02002191,Medium
1,1,10,E02002192,Medium
1,1,11,E02002193,Medium
1,1,12,E02002194,Medium
1,1,13,E02002195,Medium
1,1,14,E02002196,Medium
1,1,15,E02002197,Medium
1,1,16,E02002198,Medium
1,1,17,E02002199,Medium
1,1,18,E02002200,Medium
1,1,19,E02002201,Medium
1,1,20,E02002202,Medium
1,1,21,E02002203,Medium
1,1,22,E02002204,Medium
1,1,23,E02002205,Medium
1,1,24,E02002206,Medium
1,1,25,E02002207,Medium
1,1,26,E02002208,Medium
1,1,27,E02002209,Medium
1,1,28,E02002210,Medium
1,1,29,E02002211,Medium
1,1,30,E02002212,Medium
1,1,31,E02002213,Medium
1,1,32,E02002214,Medium
1,1,33,E02002215,Medium
1,1,34,E02002216,Medium
1,1,35,E02002217,Medium
1,1,36,E02002218,Medium
1,1,37,E02002219,Medium
1,1,38,E02002220,Medium
1,1,39,E02002221,Medium
1,1,40,E02002222,Medium
1,1,41,E02002223,Medium
1,1,42,E02002224,Medium
1,1,43,E02002225,Low
1,1,44,E02002226,Medium
1,1,45,E02002227,Medium
1,1,46,E02002228,Medium
1,1,47,E02002229,Medium
1,1,48,E02002230,Medium
1,1,49,E02002231,Medium
1,1,50,E02002232,Medium
1,1,51,E02002233,Medium
1,1,52,E02002234,Medium
1,1,53,E02002235,Medium
1,1,54,E02002236,Medium
1,1,55,E02002237,Medium
1,1,56,E02002238,Medium
1,1,57,E02002239,Medium
1,1,58,E02002240,Medium
1,1,59,E02002241,Medium
1,1,60,E02002242,Medium
1,1,61,E02002243,Medium
1,1,62,E02002244,Medium
1,1,63,E02002245,Low
1,1,64,E02002246,Medium
1,1,65,E02002247,Medium
1,1,66,E02002248,Medium
1,1,67,E02002249,Medium
1,1,68,E02002250,Medium
1,1,69,E02002251,Medium
1,1,70,E02002252,Medium
1,1,71,E02002253,Medium
1,1,72,E02002254,Medium
1,1,73,E02002255,Medium
1,1,74,E02002256,Medium
1,1,75,E02002257,Medium
1,1,76,E02002258,Medium
1,1,77,E02002259,Medium
1,1,78,E02002260,Medium
1,1,79,E02002261,Medium
1,1,80,E02002262,Medium
1,1,81,E02002263,Low
1,1,82,E02002264,Medium
1,1,83,E02002265,Medium
1,1,84,E02002266,Medium
1,1,85,E02002267,Medium
1,1,86,E02002268,Medium
1,1,87,E02002269,Medium
1,1,88,E02002270,Medium
1,1,89,E02002271,Medium
1,1,90,E02002272,Medium
1,1,91,E02002273,Medium
1,1,92,E02002274,Medium
1,1,93,E02002275,Medium
1,1,94,E02002276,Medium
1,1,95,E02002277,Medium
1,1,96,E02002278,Medium
1,1,97,E02002279,Medium
1,1,98,E02002280,Medium
1,1,99,E02002281,Medium
1,1,100,E02002282,Medium
1,1,101,E02002283,Medium
