MSOA11CD,cases
E02001445,0
E02001446,0
E02001447,0
E02001448,0
E02001449,0
E02001450,0
E02001451,0
E02001452,0
E02001453,0
E02001454,0
E02001455,0
E02001456,0
E02001457,0
E02001458,0
E02001459,0
E02001460,0
E02001461,0
E02001462,0
E02001463,0
E02001464,0
E02001465,0
E02001466,0
E02001467,0
E02001468,0
E02001469,0
E02001470,0
E02001471,0
E02001472,0
E02001473,0
E02001474,0
E02001475,0
E02001476,0
E02001477,0
E02001478,0
E02001479,0
E02001480,0
E02001481,0
E02001482,0
E02001483,0
E02001484,0
E02001485,0
E02001486,0
E02001487,0
E02001488,0
E02001489,0
E02001490,0
E02001491,0
E02001492,0
E02001493,0
E02001494,0
E02001495,0
E02001496,0
E02001497,0
E02001498,0
E02001499,0
E02001500,0
E02001501,0
E02001502,0
E02001503,0
E02001504,0
E02001505,0
E02001506,0
E02001507,0
E02001508,0
E02002574,0
E02002575,0
E02002576,0
E02002577,0
E02002578,0
E02002579,0
E02002580,0
E02002581,0
E02002582,0
E02002583,0
E02002584,0
E02002585,0
E02002586,0
E02002587,0
E02002588,0
E02002589,0
E02002590,0
E02002591,0
E02002592,22
E02002593,0
E02002594,0
E02002595,0
E02002596,0
E02002597,0
E02002598,0
E02002599,0
E02002600,0
E02002601,0
E02002602,0
E02002603,0
E02002604,0
E02002605,0
E02002606,0
E02002607,0
E02002608,0
E02002609,0
E02002610,0
E02002611,0
E02002612,0
E02002613,0
E02002614,0
E02002615,0
E02002616,0
E02002617,0
E02002618,0
E02002619,0
E02002620,0
E02002621,0
E02002622,0
E02002623,0
E02002624,0
E02002625,0
E02002626,0
E02002627,0
E02002628,0
E02002629,0
E02002630,0
E02002631,0
E02002632,0
E02002633,0
E02002634,0
E02002635,0
E02002636,0
E02002637,0
E02002638,0
E02002639,0
E02002640,0
E02002641,0
E02002642,0
E02002643,0
E02002644,0
E02002645,0
E02002646,0
E02002647,0
E02002648,0
E02002649,0
E02002650,0
E02002651,0
E02003794,0
E02003795,0
E02003796,0
E02003797,0
E02003798,0
E02003799,0
E02003800,0
E02003801,0
E02003802,0
E02003803,0
E02003804,0
E02003805,0
E02003806,0
E02003807,0
E02003808,0
E02003809,0
E02003810,0
E02003811,0
E02003812,0
E02003813,0
E02003814,0
E02003815,0
E02003816,0
E02003817,0
E02003818,0
E02003819,0
E02003820,0
E02003821,0
E02003822,0
E02003823,0
E02003824,0
E02003825,0
E02003826,0
E02003827,0
E02003828,0
E02003829,0
E02003830,0
E02003831,16
E02003832,0
E02003833,0
E02003834,0
E02003835,0
E02003836,0
E02003837,0
E02003838,0
E02003839,0
E02003840,0
E02003841,0
E02003842,0
E02003843,0
E02003844,0
E02003845,0
E02003846,0
E02003847,0
E02003848,0
E02003849,0
E02003850,0
E02003851,0
E02003852,0
E02003853,0
E02003854,0
E02003855,0
E02003856,0
E02003857,0
E02003858,0
E02003859,27
E02003860,0
E02003861,0
E02003862,0
E02003863,0
E02003864,0
E02003865,16
E02003866,0
E02003867,0
E02003868,0
E02003869,0
E02003870,0
E02003871,0
E02003872,0
E02003873,0
E02003874,0
E02003875,0
E02003876,0
E02003877,0
E02003878,0
E02003879,0
E02003880,0
E02003881,0
E02003882,0
E02003883,0
E02003884,0
E02003885,0
E02003886,0
E02003887,0
E02003888,0
E02003889,0
E02003890,0
E02003891,0
E02003965,0
E02003966,0
E02003967,0
E02003968,0
E02003969,0
E02003970,0
E02003971,22
E02003972,0
E02003973,0
E02003974,0
E02003975,16
E02003976,0
E02003977,44
E02003978,0
E02003979,71
E02003980,0
E02003981,27
E02003982,22
E02003983,27
E02003984,33
E02003985,33
E02003986,33
E02003987,0
E02003988,22
E02003989,0
E02003990,22
E02003991,0
E02003992,0
E02003993,22
E02003994,0
E02003995,0
E02003996,16
E02003997,16
E02003998,0
E02003999,0
E02004000,0
E02004001,27
E02004002,33
E02004003,0
E02004004,22
E02004005,0
E02004006,0
E02004007,0
E02004008,0
E02004009,0
E02004010,0
E02004011,0
E02004012,16
E02004013,0
E02004014,0
E02004015,0
E02004016,22
E02004017,44
E02004018,33
E02004019,16
E02004020,60
E02004021,22
E02004022,0
E02004023,16
E02004024,0
E02004025,27
E02004026,27
E02004027,33
E02004028,38
E02005176,0
E02005177,0
E02005178,0
E02005179,0
E02005180,0
E02005181,0
E02005182,0
E02005183,0
E02005184,0
E02005185,0
E02005186,0
E02005189,0
E02005190,0
E02005191,0
E02005192,0
E02005193,0
E02005194,0
E02005195,0
E02005196,0
E02005197,16
E02005198,0
E02005199,0
E02005200,0
E02005201,0
E02005202,22
E02005203,0
E02005204,0
E02005205,0
E02005206,0
E02005207,0
E02005208,0
E02005209,0
E02005210,0
E02005211,0
E02005212,0
E02005213,0
E02005214,0
E02005215,0
E02005216,0
E02005217,0
E02005218,0
E02005219,0
E02005220,0
E02005221,27
E02005222,27
E02005223,27
E02005224,0
E02005225,27
E02005226,0
E02005228,0
E02005229,16
E02005230,22
E02005231,0
E02005233,55
E02005234,55
E02005235,44
E02005236,60
E02005237,60
E02005238,49
E02005239,22
E02005240,0
E02005241,0
E02005242,0
E02005243,0
E02005244,0
E02005245,0
E02005246,0
E02005247,0
E02005248,0
E02005249,0
E02005250,0
E02005251,0
E02005252,0
E02005253,0
E02005254,0
E02005255,0
E02005256,0
E02005257,0
E02005258,0
E02005259,0
E02005260,0
E02005261,0
E02005262,0
E02005263,0
E02005264,0
E02005265,0
E02005266,0
E02005267,0
E02005268,0
E02005269,0
E02005270,0
E02005271,0
E02005272,0
E02005273,0
E02005274,0
E02005275,0
E02005276,0
E02005277,0
E02005278,0
E02005279,0
E02005280,0
E02005281,0
E02005284,0
E02005285,0
E02005286,0
E02005287,0
E02005288,0
E02005289,0
E02005290,0
E02005291,0
E02005292,0
E02005293,0
E02005294,0
E02005295,0
E02005296,0
E02005297,0
E02005298,0
E02005299,0
E02005300,0
E02005301,0
E02005302,0
E02005303,0
E02005304,0
E02005305,0
E02005306,0
E02005307,0
E02005308,0
E02005309,0
E02005310,0
E02005311,0
E02005312,0
E02005313,0
E02005314,0
E02005315,0
E02005316,0
E02005317,0
E02005318,0
E02005319,0
E02005320,0
E02005321,0
E02005322,0
E02005323,0
E02005324,0
E02005325,0
E02005326,0
E02005327,0
E02005328,0
E02005329,0
E02005330,0
E02005331,0
E02005332,0
E02006860,0
E02006871,0
E02006881,0
E02006884,0
E02006902,0
E02006912,0
E02006913,0
E02006914,0
E02006915,16
E02006916,0
E02006917,0
E02006932,0
E02006933,0
E02006934,0
