MSOA11CD,cases
E02004716,0
E02004717,33
E02004718,0
E02004719,0
E02004720,0
E02004721,0
E02004722,0
E02004723,0
E02004724,0
E02004725,0
E02004726,0
E02004727,0
E02004728,0
E02004729,0
E02004730,0
E02004731,0
E02004732,0
E02004733,0
E02004734,0
E02004735,0
E02004736,0
E02004737,16
E02004738,0
E02004739,0
E02004740,0
E02004741,0
E02004742,16
E02004743,0
E02004744,0
E02004745,0
E02004746,0
E02004747,0
E02004748,0
E02004749,16
E02004750,0
E02004751,0
E02004752,0
E02004753,0
E02004754,0
E02004755,0
E02004756,0
E02004757,0
E02004758,0
E02004759,0
E02004760,0
E02004761,0
E02004764,0
E02004765,0
E02004766,0
E02004767,0
E02004768,0
E02004769,0
E02004770,0
E02004771,0
E02004772,0
E02004774,0
E02004775,0
E02004776,0
E02004777,0
E02004778,0
E02004779,0
E02004780,0
E02004781,0
E02004782,0
E02004783,0
E02004784,0
E02004785,0
E02004786,0
E02004787,0
E02004788,0
E02004789,0
E02004790,0
E02004791,0
E02004792,0
E02004793,0
E02004794,0
E02004795,0
E02004796,0
E02004797,0
E02004798,0
E02004799,0
E02004800,0
E02004801,0
E02004802,0
E02004803,0
E02004804,0
E02004805,0
E02004806,0
E02004807,0
E02004808,0
E02004809,0
E02004810,0
E02004811,0
E02004812,0
E02004813,0
E02004814,0
E02004815,0
E02004816,22
E02004817,0
E02004818,0
E02004819,0
E02004820,0
E02004821,0
E02004822,22
E02004823,0
E02004824,0
E02004825,0
E02004826,0
E02004827,0
E02004828,0
E02004829,0
E02004830,16
E02004831,38
E02004832,0
E02004833,16
E02004834,0
E02004835,0
E02004836,0
E02004837,0
E02004838,27
E02004839,0
E02004840,22
E02004841,22
E02004842,0
E02004996,0
E02004997,16
E02004998,0
E02004999,0
E02005000,0
E02005001,0
E02005002,0
E02005003,0
E02005004,16
E02005005,16
E02005006,0
E02005007,0
E02005008,0
E02005009,0
E02005010,0
E02005011,0
E02005012,0
E02005013,0
E02005014,0
E02005015,0
E02005016,0
E02005017,0
E02005018,0
E02005019,0
E02005020,0
E02005021,0
E02005022,0
E02005023,0
E02005025,0
E02005026,0
E02005027,0
E02005028,22
E02005029,16
E02005030,0
E02005031,0
E02005032,0
E02005033,22
E02005034,22
E02005035,49
E02005036,0
E02005037,27
E02005038,0
E02005039,0
E02005040,0
E02005041,0
E02005042,0
E02005043,0
E02005044,0
E02005045,0
E02005046,0
E02005047,0
E02005048,0
E02005049,0
E02005050,0
E02005051,0
E02005052,0
E02005053,0
E02005054,0
E02005055,0
E02005056,0
E02005057,0
E02005058,0
E02005059,0
E02005060,0
E02005061,0
E02005062,0
E02005063,0
E02005064,0
E02005065,0
E02005066,0
E02005067,0
E02005068,0
E02005069,0
E02005070,0
E02005071,0
E02005072,0
E02005073,0
E02005074,33
E02005075,0
E02005076,22
E02005077,0
E02005078,0
E02005079,0
E02005080,0
E02005081,0
E02005082,0
E02005083,0
E02005084,0
E02005085,0
E02005086,0
E02005087,0
E02005088,0
E02005089,0
E02005090,0
E02005091,16
E02005093,0
E02005094,0
E02005095,0
E02005096,0
E02005097,16
E02005098,0
E02005099,0
E02005100,0
E02005101,0
E02005102,0
E02005103,0
E02005104,0
E02005105,0
E02005106,0
E02005107,0
E02005109,0
E02005110,0
E02005111,0
E02005112,0
E02005113,0
E02005114,0
E02005115,0
E02005116,0
E02005117,0
E02005118,0
E02005119,0
E02005120,0
E02005121,0
E02005122,0
E02005123,0
E02005124,0
E02005125,0
E02005126,0
E02005127,0
E02005128,0
E02005129,16
E02005130,0
E02005131,0
E02005132,0
E02005133,0
E02005134,0
E02005135,0
E02005136,0
E02005137,0
E02005138,0
E02005139,0
E02005140,0
E02005141,0
E02005142,0
E02005143,0
E02005144,0
E02005145,0
E02005146,0
E02005147,0
E02005148,0
E02005149,0
E02005150,0
E02005151,0
E02005153,0
E02005154,16
E02005155,22
E02005156,0
E02005157,0
E02005158,0
E02005159,0
E02005160,0
E02005161,0
E02005162,0
E02005163,0
E02005164,0
E02005165,0
E02005166,0
E02005167,0
E02005168,0
E02005169,0
E02005170,0
E02005171,0
E02005172,0
E02005173,0
E02005174,0
E02005175,0
E02005921,0
E02005922,0
E02005923,0
E02005924,0
E02005925,0
E02005926,0
E02005927,0
E02005928,33
E02005929,0
E02005930,0
E02005931,0
E02005932,0
E02005933,0
E02005934,0
E02005935,0
E02005936,16
E02005937,0
E02005938,0
E02005939,0
E02005940,0
E02005941,0
E02005942,0
E02005943,0
E02005944,0
E02005945,16
E02005946,0
E02005947,0
E02005948,0
E02005949,0
E02005950,16
E02005951,0
E02005952,0
E02005953,0
E02005954,0
E02005955,0
E02005956,0
E02005957,0
E02005958,0
E02005959,0
E02005960,0
E02005961,0
E02005962,0
E02005963,38
E02005964,0
E02005965,0
E02005966,0
E02005967,0
E02005968,0
E02005969,0
E02005970,0
E02005971,0
E02005972,0
E02005973,0
E02005974,0
E02005975,0
E02005976,0
E02005977,0
E02005978,0
E02005979,0
E02005980,0
E02005981,0
E02005982,0
E02005983,0
E02005984,0
E02005985,0
E02005986,22
E02005987,0
E02005988,0
E02005991,0
E02005992,0
E02005993,0
E02005994,0
E02005995,0
E02005996,0
E02005997,0
E02005998,0
E02005999,0
E02006000,0
E02006001,16
E02006002,16
E02006003,0
E02006004,0
E02006005,0
E02006006,0
E02006007,0
E02006317,0
E02006318,0
E02006319,0
E02006320,0
E02006321,22
E02006322,0
E02006323,0
E02006324,0
E02006325,0
E02006326,0
E02006327,0
E02006328,0
E02006329,22
E02006330,22
E02006331,0
E02006332,0
E02006333,0
E02006334,0
E02006335,0
E02006336,0
E02006337,0
E02006338,0
E02006339,27
E02006341,0
E02006342,0
E02006343,0
E02006344,0
E02006345,0
E02006346,0
E02006347,0
E02006348,0
E02006349,0
E02006350,0
E02006351,0
E02006352,0
E02006353,0
E02006354,0
E02006355,0
E02006356,0
E02006357,0
E02006358,16
E02006359,0
E02006360,0
E02006361,0
E02006362,0
E02006363,0
E02006364,0
E02006365,16
E02006366,0
E02006367,0
E02006368,16
E02006369,0
E02006370,0
E02006371,0
E02006372,0
E02006373,0
E02006374,16
E02006375,16
E02006376,66
E02006377,33
E02006378,22
E02006379,0
E02006380,16
E02006381,0
E02006382,0
E02006383,49
E02006384,0
E02006385,0
E02006386,0
E02006387,0
E02006388,0
E02006389,0
E02006390,0
E02006391,0
E02006392,0
E02006393,0
E02006394,0
E02006395,0
E02006396,0
E02006397,0
E02006398,0
E02006399,0
E02006400,0
E02006401,0
E02006402,22
E02006403,0
E02006404,33
E02006405,33
E02006406,0
E02006407,0
E02006408,0
E02006409,0
E02006410,16
E02006411,0
E02006412,0
E02006413,0
E02006414,0
E02006415,0
E02006416,0
E02006417,0
E02006418,0
E02006419,0
E02006420,0
E02006421,0
E02006422,0
E02006423,0
E02006424,0
E02006425,0
E02006426,0
E02006427,0
E02006429,0
E02006430,0
E02006431,0
E02006432,0
E02006433,0
E02006434,0
E02006435,0
E02006436,0
E02006437,22
E02006438,0
E02006439,0
E02006440,0
E02006441,0
E02006442,0
E02006443,0
E02006444,0
E02006445,16
E02006446,0
E02006447,0
E02006448,22
E02006449,0
E02006450,0
E02006451,0
E02006453,0
E02006454,27
E02006455,0
E02006456,0
E02006457,16
E02006458,16
E02006459,0
E02006460,16
E02006461,0
E02006462,0
E02006463,16
E02006464,0
E02006465,0
E02006466,0
E02006467,0
E02006534,0
E02006535,0
E02006536,0
E02006537,0
E02006538,0
E02006539,0
E02006540,0
E02006541,0
E02006542,0
E02006543,0
E02006544,0
E02006545,0
E02006546,0
E02006547,0
E02006548,0
E02006549,0
E02006550,0
E02006551,0
E02006552,0
E02006553,0
E02006554,0
E02006555,0
E02006556,0
E02006557,0
E02006558,0
E02006559,0
E02006560,0
E02006561,0
E02006562,0
E02006563,0
E02006564,0
E02006565,0
E02006566,0
E02006567,0
E02006568,0
E02006569,0
E02006570,0
E02006571,0
E02006572,0
