,URN,zonei,east,north,MSOA
4464,140588,4464,435556,389615,E02001629
4465,111369,4465,362528,389604,E02002601
4466,106114,4466,389215,389596,E02001202
4467,104629,4467,340181,389588,E02001380
4468,141103,4468,335277,389587,E02006932
4469,145389,4469,358689,389586,E02002599
4470,146530,4470,326217,389573,E02001478
4471,146189,4471,396680,389568,E02001203
4472,106340,4472,377817,389549,E02001281
4473,120463,4473,508807,389547,E02005494
4474,137888,4474,340874,389539,E02001380
4475,106027,4475,390660,389522,E02001205
4476,106028,4476,390660,389522,E02001205
4477,111370,4477,364469,389515,E02002603
4478,104652,4478,337589,389495,E02001381
4479,140439,4479,433373,389472,E02001636
4480,143058,4480,363442,389467,E02002601
4481,145799,4481,361402,389444,E02002600
4482,104616,4482,339018,389415,E02001388
4483,105070,4483,328061,389396,E02001477
4484,105060,4484,329486,389390,E02001481
4485,147388,4485,364244,389390,E02002603
4486,122655,4486,468793,389369,E02005837
4487,143057,4487,442186,389362,E02001602
4488,111308,4488,361672,389333,E02002600
4489,105063,4489,322156,389324,E02001480
4490,106046,4490,392131,389324,E02001207
4491,130395,4491,337967,389318,E02001384
4492,144241,4492,361955,389294,E02002600
4493,134210,4493,342262,389259,E02001386
4494,110971,4494,359524,389250,E02002602
4495,105085,4495,331429,389223,E02001482
4496,133326,4496,387375,389223,E02001204
4497,104682,4497,340138,389196,E02001387
4498,105048,4498,331764,389196,E02001482
4499,135746,4499,388357,389188,E02001204
4500,107081,4500,433033,389166,E02001634
4501,147374,4501,442567,389145,E02001604
4502,131800,4502,336526,389089,E02001385
4503,105041,4503,328240,389082,E02001485
4504,143061,4504,436061,389079,E02001630
4505,145388,4505,357689,389079,E02002598
4506,104648,4506,338052,389014,E02001384
4507,107092,4507,431649,389006,E02001635
4508,146012,4508,430226,389005,E02001633
4509,106091,4509,389544,388994,E02001200
4510,136810,4510,339699,388959,E02001387
4511,120577,4511,510523,388951,E02005494
4512,106076,4512,395192,388946,E02001206
4513,106126,4513,392043,388930,E02001207
4514,131490,4514,482929,388927,E02005497
4515,106294,4515,378093,388918,E02001281
4516,107094,4516,433572,388918,E02001634
4517,105536,4517,380775,388895,E02001092
4518,106283,4518,376945,388888,E02001282
4519,131306,4519,389987,388884,E02001209
4520,104589,4520,335766,388880,E02001383
4521,111307,4521,359931,388878,E02002607
4522,104660,4522,335522,388819,E02001390
4523,145387,4523,356280,388806,E02002604
4524,143798,4524,438854,388793,E02001628
4525,106898,4525,449188,388773,E02001603
4526,142978,4526,442663,388755,E02001604
4527,138063,4527,481986,388749,E02005495
4528,105485,4528,381110,388734,E02001092
4529,105043,4529,326854,388711,E02001484
4530,105056,4530,326854,388711,E02001484
4531,138357,4531,449592,388686,E02001603
4532,146510,4532,430267,388678,E02001633
4533,137542,4533,397410,388656,E02001203
4534,106032,4534,388710,388644,E02001209
4535,106043,4535,392344,388617,E02001207
4536,106038,4536,385852,388612,E02001208
4537,132241,4537,382270,388596,E02001093
4538,111296,4538,361750,388577,E02002606
4539,140341,4539,433621,388571,E02001634
4540,146841,4540,435791,388571,E02001632
4541,133676,4541,358204,388537,E02002605
4542,106083,4542,393244,388527,E02001207
4543,143456,4543,349331,388505,E02001343
4544,133337,4544,342762,388491,E02001386
4545,104454,4545,349614,388486,E02001343
4546,111299,4546,359604,388470,E02002607
4547,133332,4547,338565,388467,E02001388
4548,104625,4548,340833,388418,E02001393
4549,106284,4549,375033,388411,E02001283
4550,106115,4550,389034,388410,E02001209
4551,145688,4551,386689,388410,E02001208
4552,106290,4552,379535,388382,E02001280
4553,104678,4553,344315,388368,E02001391
4554,104642,4554,340292,388351,E02001387
4555,105068,4555,326987,388319,E02001484
4556,141582,4556,336174,388314,E02001389
4557,111373,4557,356341,388306,E02002608
4558,106102,4558,396122,388279,E02001215
4559,106295,4559,378827,388263,E02001281
4560,146068,4560,451747,388251,E02001605
4561,104519,4561,342983,388234,E02001386
4562,106024,4562,389064,388220,E02001212
4563,106341,4563,376603,388219,E02001283
4564,111306,4564,359207,388210,E02002607
4565,104990,4565,331807,388209,E02001487
4566,136062,4566,335591,388209,E02001390
4567,105091,4567,331567,388200,E02001487
4568,136087,4568,377344,388178,E02001282
4569,144798,4569,357205,388168,E02002604
4570,141275,4570,384321,388155,E02001211
4571,131587,4571,328612,388149,E02001485
4572,104600,4572,344125,388112,E02001391
4573,143797,4573,466030,388112,E02005837
4574,111199,4574,351629,388027,E02002574
4575,105064,4575,331341,388024,E02001488
4576,141403,4576,439027,388017,E02001637
4577,141404,4577,439027,388017,E02001637
4578,120468,4578,500095,387997,E02005496
4579,106054,4579,387592,387992,E02001208
4580,141960,4580,339097,387992,E02001395
4581,105069,4581,328322,387897,E02001485
4582,106048,4582,390809,387882,E02001213
4583,106049,4583,390809,387882,E02001213
4584,143072,4584,355973,387860,E02002608
4585,139467,4585,382805,387854,E02001093
4586,142437,4586,381514,387842,E02001095
4587,146411,4587,451850,387832,E02001605
4588,107043,4588,434603,387828,E02001636
