Date,OriginalCases
2020-03-16,101.08365761255116
2020-03-17,100.55376557517354
2020-03-18,100.3905893586179
2020-03-19,101.32419142063402
2020-03-20,106.52252415894515
2020-03-21,119.06337951789722
2020-03-22,139.25065502888876
2020-03-23,163.6199665616499
2020-03-24,183.47927705571811
2020-03-25,195.9352740037631
2020-03-26,203.23947240689174
2020-03-27,210.23059071938428
2020-03-28,221.5718468508361
2020-03-29,239.4899234504214
2020-03-30,261.46982214687716
2020-03-31,279.57716437030155
2020-04-01,290.9535288333008
2020-04-02,297.3245583640667
2020-04-03,302.40797815275437
2020-04-04,309.74731215157675
2020-04-05,321.2545875733751
2020-04-06,335.5194641982544
2020-04-07,347.41611528469394
2020-04-08,354.7942948940586
2020-04-09,358.1057913388341
2020-04-10,358.6470792102677
2020-04-11,357.5354643808746
2020-04-12,355.5230109134582
2020-04-13,353.31436387699506
2020-04-14,351.67202382722536
2020-04-15,350.58557508793535
2020-04-16,349.4054247422649
2020-04-17,346.97541489525196
2020-04-18,342.0448206523706
2020-04-19,334.15375663142856
2020-04-20,324.6959654011947
2020-04-21,317.1088135093067
2020-04-22,312.19624133091656
2020-04-23,308.33127587236453
2020-04-24,302.59144992395704
2020-04-25,291.8481984188959
2020-04-26,274.6899676685255
2020-04-27,253.89834002014237
2020-04-28,236.9519185650225
2020-04-29,226.23557970249047
2020-04-30,219.6256485504458
2020-05-01,212.9355050130317
2020-05-02,201.83998802159172
2020-05-03,184.25206098285116
2020-05-04,162.7634044579926
2020-05-05,145.11835046878934
2020-05-06,134.00670909708802
2020-05-07,127.67462413325237
2020-05-08,122.44572385061633
2020-05-09,114.50538609031699
2020-05-10,102.01068323487985
2020-05-11,86.65545801189076
2020-05-12,73.98100604560717
2020-05-13,66.01863230669208
2020-05-14,61.90992594820491
2020-05-15,59.18647001891864
2020-05-16,55.092893822897395
2020-05-17,48.65563949632262
2020-05-18,40.74795723984076
2020-05-19,34.22748526524255
2020-05-20,30.128316662916507
2020-05-21,27.91292068467399
2020-05-22,26.286382570067353
2020-05-23,23.936134688745422
2020-05-24,20.257666255458645
2020-05-25,15.722747394439404
2020-05-26,11.966524919978315
2020-05-27,9.614765665560945
2020-05-28,8.44167919130484
2020-05-29,7.804772591142951
2020-05-30,7.04839862406426
2020-05-31,5.88932337713983
2020-06-01,4.442012364698493
2020-06-02,3.2340586548175216
2020-06-03,2.474362260822365
2020-06-04,2.1058818386686533
2020-06-05,1.9268732664733903
2020-06-06,1.7077795349566234
2020-06-07,1.3709402980677532
2020-06-08,0.9507277450787608
2020-06-09,0.5991494236450545
2020-06-10,0.37967505336496804
2020-06-11,0.2881121453303698
2020-06-12,0.32428280530607434
2020-06-13,0.4020637845399971
2020-06-14,0.527093766260488
2020-06-15,0.6781624960909064
2020-06-16,0.8007907540397083
2020-06-17,0.880124411536456
2020-06-18,0.9341022300903561
2020-06-19,0.9977437483297286
2020-06-20,1.1091165665391767
2020-06-21,1.2869263056544318
2020-06-22,1.503937950809144
2020-06-23,1.6818542367527876
2020-06-24,1.7937383537990057
2020-06-25,1.8595005459220686
2020-06-26,1.949821478629159
2020-06-27,2.119592103397364
2020-06-28,2.3901542011985843
2020-06-29,2.72085197370348
2020-06-30,2.9933559398655083
2020-07-01,3.16339043213548
2020-07-02,3.253101401863505
2020-07-03,3.3044118960567697
2020-07-04,3.35655336166346
2020-07-05,3.434944989038526
2020-07-06,3.5341095172473467
2020-07-07,3.6173018355884725
2020-07-08,3.6697758471271
2020-07-09,3.6986196295650933
2020-07-10,3.7192664538666826
2020-07-11,3.7464394135256636
2020-07-12,3.789651100667906
2020-07-13,3.8459106564219243
2020-07-14,3.896405139875326
2020-07-15,3.9249676749009903
2020-07-16,3.914685175481124
2020-07-17,3.8423664424108734
2020-07-18,3.6849785481409736
2020-07-19,3.4314585971408045
2020-07-20,3.125792065410321
2020-07-21,2.876874700785962
2020-07-22,2.7211334202786035
2020-07-23,2.6328701509809154
2020-07-24,2.6585618628943704
2020-07-25,2.7792454654990757
2020-07-26,2.9731917647427344
2020-07-27,3.198551174075764
2020-07-28,3.373734395437726
2020-07-29,3.492231568660939
2020-07-30,3.6330876228408946
2020-07-31,3.9647922239081907
2020-08-01,4.6318413492617925
2020-08-02,5.700015356388671
2020-08-03,6.986740268501066
2020-08-04,8.02778589167196
2020-08-05,8.690360614156688
2020-08-06,9.152788620396038
2020-08-07,9.761957913589672
2020-08-08,10.836194682211367
2020-08-09,12.547023872993998
2020-08-10,14.640608904313787
2020-08-11,16.36586483034525
2020-08-12,17.440436903428182
2020-08-13,18.001095264643755
2020-08-14,18.32052797798697
2020-08-15,18.6499381913034
2020-08-16,19.154089083468026
2020-08-17,19.805578126835226
2020-08-18,20.371444161720277
2020-08-19,20.710647133569214
2020-08-20,20.75514435215877
2020-08-21,20.43347074315152
2020-08-22,19.664905927396084
2020-08-23,18.417973069720855
2020-08-24,16.926562496595075
2020-08-25,15.725734333747452
2020-08-26,14.971595695940831
2020-08-27,14.479969496411936
2020-08-28,14.1857866975079
2020-08-29,13.917799375604508
2020-08-30,13.461389892146478
2020-08-31,12.805084754127613
2020-09-01,12.146774120440211
2020-09-02,11.874046382246226
2020-09-03,12.68262851744169
2020-09-04,16.71611512796631
2020-09-05,25.885699171382715
2020-09-06,40.51990653217319
2020-09-07,57.957512247146724
2020-09-08,71.83019705106774
2020-09-09,80.93362173533879
2020-09-10,89.03917924321414
2020-09-11,103.49410465021313
2020-09-12,131.6092650476132
2020-09-13,176.4676171447798
2020-09-14,230.59790362135595
2020-09-15,274.4483481035808
2020-09-16,302.42029967173363
2020-09-17,321.84444511401944
2020-09-18,346.1543530193138
2020-09-19,388.85549226387633
2020-09-20,456.80067978493474
2020-09-21,539.5888981629374
2020-09-22,607.4519802219368
2020-09-23,650.1287484074733
2020-09-24,674.9096601254541
2020-09-25,696.007925874161
2020-09-26,727.2720445925117
2020-09-27,776.4214497110322
2020-09-28,837.0509994492338
2020-09-29,887.3137093409001
2020-09-30,918.746078921377
2020-10-01,934.8237657292033
2020-10-02,943.1386335214046
2020-10-03,950.8353490907598
2020-10-04,962.1952637323028
2020-10-05,976.673401915879
2020-10-06,988.8919947605799
2020-10-07,996.6969543466239
2020-10-08,1001.0706442509505
2020-10-09,1004.1691207917842
2020-10-10,1008.1650035324152
2020-10-11,1014.1977437665818
2020-10-12,1021.4886268548847
2020-10-13,1027.3086464873181
2020-10-14,1031.2317521532798
2020-10-15,1035.188174413425
2020-10-16,1042.4493824409064
2020-10-17,1056.442047096162
2020-10-18,1078.7844782845098
2020-10-19,1105.7537325114915
2020-10-20,1127.632440766506
2020-10-21,1141.5316802899326
2020-10-22,1150.8317430281404
2020-10-23,1161.5664802548602
2020-10-24,1179.846876416898
2020-10-25,1208.9227404755077
2020-10-26,1244.477198159155
2020-10-27,1273.7495282338627
2020-10-28,1292.025974895083
2020-10-29,1301.7300042645609
2020-10-30,1307.7522149699505
2020-10-31,1314.8205558596308
2020-11-01,1325.7977754576727
2020-11-02,1339.795055552916
2020-11-03,1351.834748981509
2020-11-04,1359.038495927918
2020-11-05,1360.1072408166742
2020-11-06,1353.574422891419
2020-11-07,1337.5998966908962
2020-11-08,1311.6798092578126
2020-11-09,1280.6612255621963
2020-11-10,1255.647986255402
2020-11-11,1239.803881311496
2020-11-12,1229.1019322078625
2020-11-13,1216.4532089329523
2020-11-14,1194.6776893460076
2020-11-15,1159.9656075849832
2020-11-16,1117.4800742075424
2020-11-17,1082.4456696047366
2020-11-18,1060.6382801490815
2020-11-19,1049.528739993068
2020-11-20,1043.8459772108583
2020-11-21,1038.5583300046967
2020-11-22,1030.5231832467896
2020-11-23,1019.931841529355
2020-11-24,1010.5465240784004
2020-11-25,1005.1566531136143
2020-11-26,1005.9083817415102
2020-11-27,1015.8635987699515
2020-11-28,1038.553901144813
2020-11-29,1075.1041150319904
2020-11-30,1118.7656329545819
2020-12-01,1153.7833395587732
2020-12-02,1176.368077449915
2020-12-03,1193.7188565132965
2020-12-04,1218.4386698252238
2020-12-05,1263.4499712963272
2020-12-06,1335.1615809762693
2020-12-07,1422.1169940795626
2020-12-08,1492.9652032020629
2020-12-09,1537.9249437497342
2020-12-10,1566.9543960317958
2020-12-11,1598.0963259442492
2020-12-12,1649.4689399870335
2020-12-13,1730.7254775150816
2020-12-14,1829.8088389211634
2020-12-15,1910.906936287114
2020-12-16,1962.2424468939646
2020-12-17,1994.0561165433476
2020-12-18,2025.346184164041
2020-12-19,2075.1233711109358
2020-12-20,2153.796250870064
2020-12-21,2250.2932617599645
2020-12-22,2329.8905873201707
2020-12-23,2379.673870307405
2020-12-24,2406.2117647822192
2020-12-25,2422.8364214429816
2020-12-26,2442.4535077280875
2020-12-27,2472.8483075074955
2020-12-28,2511.457062683536
2020-12-29,2544.4972224657176
2020-12-30,2564.378031388648
2020-12-31,2568.3788968098133
2021-01-01,2553.7925447056027
2021-01-02,2517.0376064003403
2021-01-03,2457.4544302871573
2021-01-04,2386.52130188793
2021-01-05,2329.754356376486
2021-01-06,2293.3072099461538
2021-01-07,2265.3886759045545
2021-01-08,2225.8658507267132
2021-01-09,2154.0826185456567
2021-01-10,2039.6010289413373
2021-01-11,1900.5820195867245
2021-01-12,1787.0690046850157
2021-01-13,1715.3370721398105
2021-01-14,1671.013005390387
2021-01-15,1627.6071505713603
2021-01-16,1558.6981687777718
2021-01-17,1449.885388890885
2021-01-18,1316.6160809898547
2021-01-19,1206.9754104130689
2021-01-20,1137.921797549284
2021-01-21,1098.2529604675037
2021-01-22,1066.2515365657266
2021-01-23,1020.5335698216159
2021-01-24,949.073079835354
2021-01-25,861.0254960827303
2021-01-26,788.2804673943754
2021-01-27,742.4216753693006
2021-01-28,716.6706909578014
2021-01-29,697.2488910878336
2021-01-30,670.4233928467506
2021-01-31,628.683556482294
2021-02-01,577.2079081457948
2021-02-02,534.677144447388
2021-02-03,507.8069294624424
2021-02-04,492.38446295961734
2021-02-05,480.1903600338594
2021-02-06,462.9971472902443
2021-02-07,436.175114457522
2021-02-08,403.1406965505697
2021-02-09,375.857373747894
2021-02-10,358.650260063562
2021-02-11,348.96733835380365
2021-02-12,341.540766240275
2021-02-13,331.07747425401334
2021-02-14,314.74497226407277
2021-02-15,294.6255075524078
2021-02-16,278.0068309702017
2021-02-17,267.52230592007436
2021-02-18,261.68936106425235
2021-02-19,257.2367579811584
2021-02-20,250.85532654793002
2021-02-21,240.92571373489872
2021-02-22,228.72504232338127
2021-02-23,218.6838266969253
2021-02-24,212.31530376335203
2021-02-25,208.48914441492687
2021-02-26,204.9342162539464
2021-02-27,199.33320836783827
2021-02-28,190.5246482766316
2021-03-01,179.7703810349324
2021-03-02,170.9520595049454
2021-03-03,165.36743566550797
2021-03-04,161.96785135691422
2021-03-05,158.7995662985507
2021-03-06,153.85183594530477
2021-03-07,146.0536797155856
2021-03-08,136.50679001347947
2021-03-09,128.65917798767546
2021-03-10,123.7050147929471
2021-03-11,120.83301282327454
2021-03-12,118.3665091766004
2021-03-13,114.7241115265396
2021-03-14,109.01346471344048
2021-03-15,102.0113527226576
2021-03-16,96.25655974556699
2021-03-17,92.60984099859863
2021-03-18,90.43997700635398
2021-03-19,88.4614399313714
2021-03-20,85.32713074643736
2021-03-21,80.38046901595065
2021-03-22,74.32861688484651
2021-03-23,69.35487693303185
2021-03-24,66.21900452371975
2021-03-25,64.45445945704091
2021-03-26,63.01538414072048
2021-03-27,60.760753838915
