Date,E02004140,E02004193,E02004204,E02004192,E02004160,E02004151,E02004189,E02004196,E02004233,E02004138,E02004158,E02004155,E02004168,E02004149,E02004218,E02004148,E02004156,E02004144,E02004163,E02004159,E02004180,E02004133,E02004165,E02004167,E02004227,E02004209,E02004211,E02004201,E02004213,E02004202,E02004206,E02004187,E02004181,E02004166,E02004234,E02004170,E02004161,E02004162,E02004230,E02004177,E02004215,E02004197,E02004184,E02004191,E02004205,E02004154,E02004216,E02004153,E02004129,E02004203,E02004226,E02004169,E02004134,E02004208,E02004171,E02004194,E02004142,E02004220,E02004188,E02004152,E02004157,E02004198,E02004179,E02004235,E02004141,E02004150,E02004210,E02004183,E02004145,E02004199,E02004186,E02004231,E02004182,E02004173,E02004172,E02004136,E02004214,E02004147,E02004175,E02004176,E02004207,E02004221,E02004190,E02004132,E02004229,E02004146,E02004174,E02004164,E02004135,E02004143,E02004139,E02004223,E02004222,E02004219,E02004131,E02004130,E02004178,E02004200,E02004224,E02004195,E02004137,E02004217,E02004185,E02004212,E02004228,E02004225,E02004232
2020-03-16,20.78588146542083,23.886159447635816,11.456468662610657,3.998320039521177,8.74681839044769,4.6123632536337205,4.161499812810476,3.998320040475046,5.544257852136421,2.5041793894328737,2.667653678128372,3.731525141299198,3.913059478681627,0.14067109180567286,0.22687726273507614,0.0,0.1815017441188856,0.31762816832665225,0.13612635417565716,0.0,0.0,0.0,0.0,0.04440116461900483,0.0,0.0,0.0013197037790451723,0.0,0.0,0.0,0.0,0.0009908715354718933,0.0,0.0,0.0,0.0,0.0,0.0003208016242103659,0.00042579112981217085,0.00035677169389688985,0.00042579113066104277,0.00031934334924977616,0.00042579112990933325,0.00042761397113654583,0.0003193433466108089,1.4582892940017682e-06,1.0937058595778473e-06,0.0,1.0937027778028551e-06,0.0,1.4582704578861989e-06,0.024608168759827558,0.0,2.0006862794047924e-11,0.0,0.0,0.0,3.867486196970337e-08,3.866338782241321e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481803649092483e-13,1.7531870668598633e-12,0.0,1.0691364496778976e-13,1.0075674492075986e-12,9.880560975635974e-13,1.8822047856756024e-12,8.751553203828091e-13,8.134335157337252e-13,1.1951428950737074e-12,0.0,3.0190544461416127e-12,1.7490351510220592e-12,1.886402870714721e-12,1.392814688014046e-12,1.5108985853037932e-12,1.7917184011205442e-12,5.0657548405932444e-14,1.0398862582918655e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6720096797598385e-10,1.9894517381474227e-10,1.2843082601609457e-10,0.0,1.1956289834996797e-10,1.377029138429703e-10,1.9250836775997142e-10,1.6378577813227418e-10,3.062664624034156e-10,7.72785871767522e-11,4.3534816651347985e-11
2020-03-17,20.811610036410627,23.965840497760006,11.527566113481809,3.9788686234541286,8.65917948236674,4.569216908791671,4.117407769072461,3.978868624428949,5.491421948903222,2.4330229959112315,2.6261964164748153,3.6490831656225016,3.8964825839009993,0.08311945623474343,0.18514208193139597,0.0,0.14811359839950639,0.2591989152468098,0.111085245677932,0.0,0.0,0.0,0.0,0.023696809310235267,0.0,0.0,0.003434415528037557,0.0,0.0,0.0,0.0,0.0025583288293114974,0.0,0.0,0.0,0.0,0.0,0.0008081474432946754,0.0011086104580208267,0.0009219872863011278,0.0011086104602569561,0.0008314578485879887,0.0011086104582687867,0.0010794724481361093,0.0008314578414990904,0.0,0.0,0.0,0.0,0.0,0.0,0.024852569937326676,5.533278476540936e-07,1.637099134118034e-11,0.0,0.0,0.0,3.905752232328768e-08,3.904593282674732e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4275112372462564e-12,4.539920388879283e-12,0.0,1.9430381869557377e-13,2.5793078006960323e-12,2.4564437958802695e-12,4.7734321874638305e-12,2.2013342211450773e-12,2.0889985001149575e-12,3.047279471961413e-12,0.0,7.701214843211855e-12,4.4449560089769576e-12,4.852387892125898e-12,3.6243282235394425e-12,3.8312711002497915e-12,4.559628616873748e-12,0.0,1.050256664689319e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.698468388124944e-10,2.0091642282821123e-10,1.2970470508844985e-10,1.9313551883835806e-15,1.207457610182803e-10,1.3906523740488465e-10,1.9441292012886878e-10,1.6540623984070533e-10,3.0929654842253353e-10,7.730403498278522e-11,4.2954622760437674e-11
2020-03-18,20.817274368613216,23.98890654422236,11.548878939777719,3.9721547540236632,8.631400562005668,4.555556573013644,4.1036680574319275,3.9721547550041847,5.474763612796119,2.411823521637869,2.613641870101714,3.624028516931256,3.8906452662607145,0.06617549199236633,0.17280091789775542,0.0,0.1382406668872342,0.24192128561272394,0.1036805472547339,0.0,0.0,0.0,0.0,0.017598404971577677,0.0,0.0,0.00507610068526708,0.0,0.0,0.0,0.0,0.0037714712047284844,0.0,0.0,0.0,0.0,0.0,0.0011816200461891157,0.0016387899013589058,0.0013595938183019291,0.0016387899046769014,0.001229092433589258,0.0016387899017230412,0.0015794494136791978,0.00122909242300554,0.0,0.0,0.0,0.0,0.0,0.0,0.024930291854021836,1.5404068323115395e-06,7.051279550584896e-12,0.0,0.0,0.0,3.9178130490790825e-08,3.9166503272227164e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11031738347069e-12,6.699193594647102e-12,0.0,2.468695887357615e-13,3.791685131520231e-12,3.5754656449776972e-12,6.995215385022161e-12,3.217002032597267e-12,3.0741635013913036e-12,4.473660347082299e-12,0.0,1.1307727676946195e-11,6.5184115788022984e-12,7.1445893670198174e-12,5.356624411080518e-12,5.6142826730261e-12,6.689624706643742e-12,0.0,1.0535863608346283e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706823535601727e-10,2.0153984882292242e-10,1.3010857142943695e-10,5.256325757382696e-15,1.2111848676066817e-10,1.394945101363897e-10,1.9501307394023637e-10,1.6591693334941925e-10,3.1025144752558307e-10,7.72916010894433e-11,4.2762081116099e-11
2020-03-19,20.763648222589143,23.843113450811128,11.421478062999128,4.003767437178357,8.782906011199467,4.630203575502884,4.180759314422796,4.003767438119208,5.5664306103750025,2.539811209881042,2.687463739455435,3.770505195123969,3.917161610780532,0.17043542621811086,0.24821043969437656,0.0,0.19856828639048585,0.3474946160447018,0.14892626036652656,0.0,0.0,0.0,0.0,0.055096031180567544,0.0,0.0,0.004987825875745169,0.0,0.0,0.0,0.0,0.0036924509715512976,0.0,0.0,0.0,0.0,0.0,0.0011434208075634914,0.0016106382527290707,0.0013316679393497578,0.0016106382560072182,0.0012079786970857554,0.0016106382530836382,0.001529940889383354,0.0012079786865399152,0.0,0.0,0.0,0.0,0.0,0.0,0.024508717153642924,2.507692822638057e-06,0.0,0.0,2.2416704364685806e-14,0.0,3.8514096606906704e-08,3.8502664538624145e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07422564695099e-12,6.5677601033215364e-12,1.4665870547204886e-12,1.8711634875417078e-13,3.6974649070866165e-12,3.4373707611158525e-12,6.791070835167476e-12,3.1107168772135633e-12,3.0022719738807416e-12,4.354247392214215e-12,0.0,1.1008254256934016e-11,6.3345100884222736e-12,6.982801209899082e-12,5.263238514934685e-12,5.450098733378642e-12,6.505120078858209e-12,0.0,1.0358149620994706e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.660967545885859e-10,1.9812691321691567e-10,1.2790666847243913e-10,8.469079361447575e-15,1.1906551370265332e-10,1.3713005789977227e-10,1.91707612335056e-10,1.6310475182905582e-10,3.0499282217612e-10,7.717231926846694e-11,4.373336704720288e-11
2020-03-20,20.58984852826852,23.351884710456964,10.98939489897354,4.114463264236221,9.302683086728715,4.886234224357516,4.444275060537847,4.114463265044813,5.880553059171484,2.973368055816131,2.9383327991341064,4.268628998712901,4.010514506206897,0.522820383437069,0.5032944533601663,0.20923226644786802,0.4026355041827251,0.7046122348965772,0.301976668674246,0.19555079520714574,0.4248485173612935,0.2449895242092912,0.18544051862200348,0.18184390143856088,0.20846204737949459,0.07491825244870907,0.0007157142184477884,0.037541498276570114,0.07059209906252166,0.03754149826729518,0.06191018744845208,0.0004943927471176981,0.03754149832034543,0.04348668227669449,0.07963442590876592,0.015632585513183073,0.08759682901426896,0.00011749908393699807,0.0002320306251929267,0.0001797850281093021,0.00023203062571041798,0.00017402297024171,0.00023203062523526887,0.00016137577218960678,0.00017402296834276076,0.0,0.0,0.0,0.0,0.0,0.0,0.02306136240773283,2.9828098585097555e-06,0.0,0.0,1.2635633753799201e-12,0.0,3.6238757376566446e-08,3.622799955875954e-08,3.746102414209083e-09,6.125183414409442e-10,7.554279654423165e-11,9.06039156472764e-11,4.9525656364703275e-11,3.788475441619683e-11,8.040187692070714e-10,1.2415651895242525e-10,2.9923760363559735e-13,9.030210477779509e-13,6.2586407508116654e-12,0.0,4.559328747239528e-13,2.929217131835998e-13,7.567914712700074e-13,3.135344096036667e-13,3.821705185862161e-13,5.149954686139885e-13,0.0,1.308273400767586e-12,7.228134152357202e-13,9.029195615119604e-13,7.546197834495395e-13,6.064471891478117e-13,7.535594951820393e-13,0.0,9.746717476617326e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5037757920614726e-10,1.8642371528680923e-10,1.2035214750109338e-10,9.933648733326921e-15,1.120312956663657e-10,1.2902860924925825e-10,1.8038183970593923e-10,1.5346889651915238e-10,2.8697447112482775e-10,7.684686063258848e-11,4.710089909460364e-11
2020-03-21,20.229278716043282,22.318117073046924,10.07797026805707,4.35056504979111,10.40353108898859,5.428439876444139,5.00166782262714,4.3505650503224285,6.5455712567303586,3.887514967999206,3.4678834816076023,5.32036353033788,4.209989771851884,1.2652230218148761,1.0408613628786094,0.8137115724787369,0.8326890461569207,1.4572059076329713,0.6245168146088139,0.76646400738895,1.6678213042229295,0.9603428803676796,0.7297082227059749,0.4488836977225974,0.7917328040200187,0.28251185537131035,0.0,0.14331812524085777,0.26074098071210544,0.14331812519833836,0.22236596185723534,0.0,0.14331812543400796,0.1651027759614927,0.3017387667890937,0.0558403642152476,0.33440895774693424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.765350397233725e-06,7.324108381679795e-06,1.5522962057685142e-05,7.324134591123688e-06,5.00009061986891e-05,9.765512054282865e-06,0.019995208600261206,1.8869658139121813e-06,0.0,3.8130894769086194e-11,3.5778623593885315e-12,5.633174517356581e-12,3.1421828849870666e-08,3.141250254637112e-08,1.3995448341145732e-08,2.3410606522480312e-09,2.8143223397213804e-10,3.2552532786667715e-10,1.7256773002309804e-10,1.313274297268737e-10,2.946068557528921e-09,4.486951236679414e-10,0.0,0.0,1.4099769502124602e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990776822731715e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.450464568902208e-11,1.515573773589473e-13,4.998043099683165e-14,3.268875891032167e-14,6.212755137381257e-14,5.337906560869979e-14,5.941209622254008e-14,3.193812557405441e-14,8.937913079615884e-14,2.723344294935473e-14,4.386145582407834e-14,2.170950786818289e-10,1.6164147193277544e-10,1.0435199541838843e-10,5.96963777508196e-15,9.714002652579161e-11,1.1187804480040792e-10,1.5640539274873045e-10,1.3306978872325369e-10,2.488297441322709e-10,7.621949279441221e-11,5.4259166755827456e-11
2020-03-22,19.655853497414363,20.65520036593439,8.609152651959318,4.734357757673518,12.183250455590098,6.304952968648063,5.901893008750492,4.734357757760156,7.620353389346125,5.360230019026752,4.321761844278294,7.016574095759068,4.534701024598602,2.4604990997627345,1.9065494832620071,1.7831636074037962,1.5252395654652824,2.669169275221969,1.143929687192919,1.683720722209052,3.6655540658220698,2.109692127397925,1.6049355993266399,0.8788308661718596,1.7219560396569502,0.613015795607139,0.0,0.3122238065148904,0.5619086112348524,0.312223806417283,0.47464574163971435,0.0,0.31222380695389773,0.35904436484531105,0.6557580137142776,0.11896353108807109,0.728522212691322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017914932349734762,0.00013436228886813345,0.00013856775285816514,0.00013436236808380452,0.00044342864574618184,0.00017914982196199784,0.015037248939769935,0.0,0.0,3.3946042581934687e-10,6.922425887117833e-12,1.9124618081027318e-11,2.3637003060920303e-08,2.3629995482173474e-08,3.0275662974532784e-08,5.101987456019826e-09,6.082392436149759e-10,6.949153941063123e-10,3.6439517461152095e-10,2.7679145962522176e-10,6.331781285589801e-09,9.598012967059544e-10,0.0,0.0,2.3862090396984723e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800054022116306e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0367121338988738e-12,6.353213538137301e-11,1.3062959464133001e-12,3.609168239292057e-13,2.4661021151126827e-13,4.135025808469315e-13,4.179242465630128e-13,3.8813610170545283e-13,2.6001030978205657e-13,7.701423133573083e-13,1.2983331593629316e-13,3.656322064635769e-13,1.6329991828789785e-10,1.2158184979022697e-10,7.848454053520972e-11,0.0,7.307401997109617e-11,8.416076436709575e-11,1.1765661542412572e-10,1.0010218274874008e-10,1.8718307349169498e-10,7.528343337485893e-11,6.586474374415859e-11
2020-03-23,18.975228205068785,18.649068160485193,6.8326064980679355,5.204134514402242,14.345355742561312,7.3696900866481005,6.994020908986004,5.204134513954697,8.925488141577652,7.140662631131713,5.355335979804246,9.07030801654405,4.932924461786488,3.9042478264091662,2.952533716713022,2.9477739807090453,2.3620269798110334,4.133547200910678,1.7715202276814312,2.7884087490675027,6.072709595572123,3.4939457480094442,2.6603292457963033,1.398172357760863,2.830585154737891,1.0059254292297162,0.0,0.5138803966144729,0.9172689393520138,0.5138803964476801,0.7691258724331765,0.0,0.5138803973595161,0.5901533925929234,1.0773298629794885,0.19248232923772857,1.1990542546256275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004897305691200915,0.00036729852306000265,0.0003573637983158968,0.000367298680739581,0.0011427177662314278,0.0004897315701011721,0.009012402594218453,0.0,0.0,8.751853269295104e-10,1.031697291012631e-11,3.9935128311652715e-11,1.4183942991403049e-08,1.4179759784425401e-08,4.956579106897187e-08,8.399564074412727e-09,9.950710761375308e-10,1.1261478740460757e-09,5.854910396927496e-10,4.440712445685235e-10,1.0314730157511926e-08,1.5578649969659151e-09,0.0,0.0,3.08127284755385e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260541423374823e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.5009172749467624e-12,3.802616221460546e-11,3.3548761109742877e-12,9.051201864996369e-13,6.223901497907331e-13,1.0239143849730666e-12,1.0601751942462695e-12,9.58155297000779e-13,6.630039685791842e-13,1.9778353822340007e-12,3.007161815944294e-13,9.351559907560464e-13,9.79666913779843e-11,7.292412329184963e-11,4.705872691139569e-11,0.0,4.3851430390010024e-11,5.05045614148118e-11,7.060507303194603e-11,6.00701614263281e-11,1.1232680443161363e-10,7.427797456183819e-11,8.001936383527989e-11
2020-03-24,18.43636183298781,17.015936298800284,5.380150503087298,5.59580775613765,16.12596040761096,8.246465496640518,7.891502270780456,5.595807755258298,9.999655762739692,8.595247140359932,6.201549605071933,10.75220008773329,5.265996780425922,5.081835540254008,3.8061258100458035,3.8890846241152977,3.0449006767141187,5.328576130647377,2.2836754840091458,3.6850690403782997,8.028171216414973,4.617589235336396,3.518763011224767,1.8218070869084948,3.7146243916785435,1.3179051060893794,0.0,0.6751696337542651,1.1957906732275911,0.6751696335275008,0.9955460781717054,0.0,0.6751696347610537,0.7744043860658024,1.413029708944387,0.24877996431118712,1.5753958066392664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009289410620454729,0.0006967067159780897,0.000656643693316619,0.0006967069567871008,0.0020987843238093446,0.0009289426026899948,0.004045649163173759,0.0,0.0,1.6078320997614925e-09,1.104853326255636e-11,6.352824083245919e-11,6.404042097906104e-09,6.402199739999926e-09,6.479589314864356e-08,1.1038905426167293e-08,1.2999447819733156e-09,1.4578010727230505e-09,7.515827048487084e-10,5.692031097243946e-10,1.3420127411421311e-08,2.0197524093342825e-09,0.0,0.0,2.999071297522689e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3382187874874828e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.300984454059007e-12,1.6961358477900572e-11,6.149737046188849e-12,1.6361792864877783e-12,1.1293339680598822e-12,1.836803938363942e-12,1.9295187389299296e-12,1.715617705453647e-12,1.2103151431576957e-12,3.625443533186264e-12,5.167463970830095e-13,1.7101280182241074e-12,4.417826749739876e-11,3.2853207380053475e-11,2.116685924289514e-11,0.0,1.980223697311028e-11,2.280668093808907e-11,3.188300536129621e-11,2.7124186105745547e-11,5.07213315053755e-11,7.363072774469726e-11,9.175151623518313e-11
2020-03-25,18.08173623203565,15.9896866133296,4.4741146321702265,5.832254838108043,17.22292335330835,8.78710125479375,8.447375078618137,5.832254836953749,10.662930547798481,9.504354090980813,6.729009939782409,11.7974362641948,5.466219251354257,5.818205590821281,4.3392586073076655,4.487392237169906,3.4714069287664926,6.074962046230258,2.603555162588959,4.250772991442095,9.259807071888655,5.326419023597954,4.0582754926805,2.0867799318611464,4.290156766761854,1.522625799776085,0.0,0.7795874126785078,1.382976600870478,0.779587412418495,1.1531162532192942,0.0,0.7795874138343408,0.8943975305420655,1.632137946647413,0.2882215911880476,1.8190372899550928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013564205828025325,0.0010173164769312697,0.0009284455894361383,0.0010173167451287936,0.002966165873198133,0.0013564223199026258,0.000967764203811621,0.0,1.7272651990595643e-10,2.272925836256421e-09,3.935851328959554e-12,7.526776742666916e-11,1.5992874191862593e-09,1.5989114799938667e-09,7.490047259154717e-08,1.274619623102241e-08,1.5028777892623683e-09,1.6886162689884572e-09,8.721298373644983e-10,6.607056294936922e-10,1.5528413370460627e-08,2.3387863837735917e-09,0.0,0.0,3.715711830969855e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8982291049171984e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1605889893225156e-11,3.859217876005187e-12,8.673503867349778e-12,2.2736171893226353e-12,1.5756843615159605e-12,2.531197046501985e-12,2.700835720782203e-12,2.3593223922774255e-12,1.699575652740828e-12,5.113163321329142e-12,6.777281345864034e-13,2.4058941572357175e-12,1.0935310485831545e-11,8.07377212166944e-12,5.140558914147109e-12,0.0,4.951097573867864e-12,5.702401644447709e-12,7.970498456730644e-12,6.777440576735362e-12,1.267591520557168e-11,7.306397222581371e-11,9.890051759639193e-11
