Date,E02004140,E02004193,E02004204,E02004192,E02004160,E02004151,E02004189,E02004196,E02004233,E02004138,E02004158,E02004155,E02004168,E02004149,E02004218,E02004148,E02004156,E02004144,E02004163,E02004159,E02004180,E02004133,E02004165,E02004167,E02004227,E02004209,E02004211,E02004201,E02004213,E02004202,E02004206,E02004187,E02004181,E02004166,E02004234,E02004170,E02004161,E02004162,E02004230,E02004177,E02004215,E02004197,E02004184,E02004191,E02004205,E02004154,E02004216,E02004153,E02004129,E02004203,E02004226,E02004169,E02004134,E02004208,E02004171,E02004194,E02004142,E02004220,E02004188,E02004152,E02004157,E02004198,E02004179,E02004235,E02004141,E02004150,E02004210,E02004183,E02004145,E02004199,E02004186,E02004231,E02004182,E02004173,E02004172,E02004136,E02004214,E02004147,E02004175,E02004176,E02004207,E02004221,E02004190,E02004132,E02004229,E02004146,E02004174,E02004164,E02004135,E02004143,E02004139,E02004223,E02004222,E02004219,E02004131,E02004130,E02004178,E02004200,E02004224,E02004195,E02004137,E02004217,E02004185,E02004212,E02004228,E02004225,E02004232
2020-03-22,145.0453570980426,165.92403709569072,79.07154709933994,28.27448997985919,62.57672953032986,32.95106064813049,29.81486261627487,28.27448998619123,39.62523067274806,18.65706539446717,19.325783651975982,27.415529861068503,27.63258930735899,1.9017301189540379,2.2518620608228024,0.0,1.8014892040833859,3.152606887904874,1.351117212520523,0.0,0.0,0.0,0.0,0.6406466203069521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850128023699706,0.0,0.0,0.0,0.0,0.0,2.6481744167556e-07,2.647388703487244e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.120597168389054e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829604100536425e-09,1.3622397132664775e-09,8.794093556321805e-10,0.0,8.186798648959005e-10,9.428895005328843e-10,1.3181575613079833e-09,1.121486471841137e-09,2.0970908368573835e-09,5.400663972582991e-10,3.13467176586245e-10
2020-03-29,123.64367598260667,107.78314288593356,28.274490006245685,40.87250828469903,122.966188408074,62.713099950072035,60.56442912287024,40.872508275200055,76.1805402050953,69.70222227489703,48.775654480168704,85.79582174752814,38.20324573215321,43.4524978705365,32.30083067909363,34.4868420150692,25.84066492359583,45.221162920292976,19.38049839705887,32.288417543391894,70.16827910236645,40.452337717137695,30.644557362642303,15.586633398316046,34.183536272341236,12.267894223712641,0.0,6.162316696811813,11.51303014140703,6.162316695228677,10.043571159806724,0.0,6.1623167042197,7.130309372595171,13.052238067214224,2.532935431506733,14.378738910249886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.124178884469988e-07,1.0058275416531754e-07,1.2343068353133075e-08,1.4701707068374093e-08,7.990523720350397e-09,6.106594940910084e-09,1.3095082471444144e-07,2.0168363118021533e-08,0.0,0.0,9.44205922104691e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.927240455398321e-10,7.005215683348658e-10
2020-04-05,62.09637355778857,57.14374064449026,1.8014897625800599,25.840664548575344,117.08233922163822,60.70360662563319,64.7839277576691,25.840664516122036,75.91953534371329,100.33622549490188,62.04293621035532,106.603863405503,22.774206762870698,71.2875459760538,50.896798536356854,83.06087014868707,40.71744060608424,71.25551789075057,30.53807916355172,66.99884576897774,140.49599951137614,83.74325841247541,58.29116546787899,25.67499189628569,116.88789614137882,45.7596820645713,26.40949410775993,19.687040742435627,53.217159327403586,19.68704075072607,58.354137008200475,19.831136521766062,19.6870407172423,24.48564200523145,45.96044416141424,15.28115040059019,45.936428264416904,6.417622077607514,8.514134201307515,7.1345667724573545,8.514134218280967,6.385600688775218,8.514134203251132,8.554160889520983,6.385600636022442,0.0320216754590982,0.024016034482955553,0.0,0.024015972838899828,0.0,0.03202129886970653,0.0,0.0,4.0381373958106574e-07,0.0,0.0,0.0,0.0,0.0,2.5352538600234226e-06,3.1696148548641623e-07,5.2598386135224445e-08,8.532908929852774e-08,5.658280621862478e-08,4.4539328150221205e-08,6.510338229915452e-07,1.1207715264502654e-07,1.096326430133947e-08,3.506528109937539e-08,2.141863269529315e-08,2.1468902907467163e-09,2.0155312050363336e-08,1.9772536901661472e-08,3.7656133994261795e-08,1.7510576151788272e-08,1.627118203536229e-08,2.390881938340023e-08,0.0,6.039578975424187e-08,3.4990934152554853e-08,3.773306961229977e-08,2.7855699725917868e-08,3.0227686469837526e-08,3.584420884450828e-08,1.0434867183393377e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422448031204029e-10
2020-04-12,14.423392475485537,32.771577625951934,0.0,8.216422308681718,78.49843402669237,50.595379775286524,72.51621291992072,8.216422256639758,73.53214432051587,120.36164274543422,78.65865121177208,77.32061700760444,11.448979582563696,54.16677042489082,32.811734558422046,105.14009366930854,26.249391139407706,45.93642834436643,19.687040906006764,74.1198743188817,141.68911468767396,92.21185881796907,55.99397426208847,22.792712461788998,187.57502676429783,78.55874866140718,80.79182480268202,29.73011338485076,104.03068136536821,29.73011341658998,125.94427683908046,66.76661952693149,29.730113276454176,39.433220801495004,75.54301516698658,33.42789069681009,69.37026439288039,27.328857274569042,25.464696126710766,23.407111362649253,25.46469616978183,19.098522163347916,25.464696134039766,35.75261399661864,19.098522070662046,8.230335552133232,6.17275126024018,5.143958847604835,6.172751037525557,16.477555248263414,8.230334726733465,0.0,0.012059952198784887,1.1926714878792858e-05,1.260912588244003e-05,3.9417979861957856e-07,8.809337898981108e-07,0.0,0.0,4.661876600212904e-06,4.7235571302446707e-07,9.83871246745e-08,1.8409296091613609e-07,1.3016286923133132e-07,1.033006813149662e-07,1.3181759841386274e-06,2.3785312995992923e-07,3.279811512095605e-08,1.1256382678186217e-07,5.884161920943319e-08,3.165551543477512e-08,7.364412937702293e-08,9.411549767487961e-08,1.5105344818730006e-07,7.568020543150328e-08,5.74542959550592e-08,9.10208138899292e-08,1.0325094366742547e-07,2.2888529705414483e-07,1.3758723582423038e-07,1.3087647454952772e-07,8.414031471070229e-08,1.214040441322097e-07,1.390834507024364e-07,9.135645039885473e-08,0.0,4.875794010100461e-08,1.3868089824008475e-08,9.404336605814864e-09,1.612677342486834e-08,1.58385455070464e-08,1.5191099081269964e-08,9.791674684394172e-09,2.874712911876055e-08,5.441690963949141e-09,1.3717848506362756e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,0.0,13.233313645781402,0.0,0.0,31.672563381909722,25.36382527586514,67.8333840738409,0.0,63.27725555896747,141.72884996746185,74.2523092203148,31.794071632157586,24.14380828273461,40.15770415652174,10.64266782536293,76.25847642453344,8.51413678959016,14.899735119314009,6.385601029113586,59.236820127898454,74.32383456591256,72.7185950823163,37.47161135088937,38.55695708108706,142.4560214636575,67.49848323642996,151.75458572197022,19.09852221839126,111.4965454905587,19.098522277867886,149.03662592983923,132.75942246439124,19.09852200077404,33.01678435749397,63.506701515869096,50.97445053523812,44.56321860441211,54.559417753476055,39.068585461708935,39.12365188543461,39.06858551584238,29.301439131647818,39.06858547530704,70.64105581512888,29.30143909051558,25.25797865180368,18.943483773645305,18.971016978510814,18.94348337241128,62.01806999938098,25.2579778527198,8.196830841815023,8.215797501507614,3.49419304928387e-05,4.699952397676989e-05,1.2000203745835467e-05,1.638933937304108e-05,4.332427501915577e-07,4.174525950277486e-07,2.617236334407143e-06,0.0,5.944872751394948e-08,1.7201682062376814e-07,1.390353359216376e-07,1.1204310370943906e-07,1.0457367241547032e-06,2.137535374025254e-07,5.033271762613293e-08,1.8463571148196442e-07,8.21729243088591e-08,8.774899463863695e-08,1.3373451814735628e-07,1.9870635813511894e-07,2.9141952213200936e-07,1.5230200740973253e-07,1.0179519050682904e-07,1.6994421807806676e-07,3.267699990474122e-07,4.2607959990084007e-07,2.622271560587215e-07,2.2877679108924773e-07,1.3037501815153302e-07,2.343909727098856e-07,2.62883280116041e-07,2.7716741535722024e-07,7.124438163446981e-08,1.9988220501144177e-07,8.719061377781313e-08,5.381040943854191e-08,1.190772727605821e-07,8.323492428855331e-08,1.1609320980285295e-07,4.67707166058098e-08,1.1794811839649408e-07,6.785418677963651e-08,6.162724583150331e-08,2.1114232353613876e-08,2.65507464311626e-08,2.8509713665153023e-08,2.665397443758773e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,0.0,1.7297673209216118,0.0,0.0,4.12565816838428,5.8721112535410285,35.38699980584724,0.0,56.08241543634644,151.76031149092745,42.97095740243973,4.452115590467997,57.59645361092079,39.04979715238609,0.04002626840128283,45.73005194934791,0.03201233432922539,0.0560374568840949,0.024015983388675815,47.25620933772199,18.582295873748294,57.046601162547645,36.50803587311978,84.48418803430884,69.08096739646011,31.288985025191774,203.19944252201634,6.172750712333653,71.69859336837398,6.1727507458687025,86.06185198427893,181.64494794168291,6.172750553162369,32.47124387716008,43.648452053692225,86.93033320017875,14.403086097696091,57.9373054327599,25.257978073869776,35.13161420765882,25.257978037501257,18.943483342164217,25.257978081195045,74.00025148622214,18.943483652578013,38.99382010350473,29.245366319346566,34.18218450902275,29.245366133672512,113.34145039686247,38.99382153460205,35.29501108436532,25.252730650286704,5.1393333317204296e-05,8.531959581289215e-05,3.510882591808862e-05,4.633437572711483e-05,1.1951799466739366e-05,1.1893504737805272e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7236234480857727e-10,3.7914814606707816e-08,0.0,1.2102578415416995e-07,6.46618616954298e-08,1.6826704958006915e-07,1.8534823683724896e-07,1.1225836028816465e-07,4.262410990231208e-08,9.425749688336645e-08,5.196955801787096e-07,2.3311122254039896e-07,1.589276179735854e-07,8.752968169568418e-08,4.810380482752329e-09,1.4949869974766558e-07,1.538924144700352e-07,4.2298663533478996e-07,2.771150544677905e-07,3.8580505653592214e-07,2.0319483903173397e-07,1.214156817136897e-07,2.9077254415555047e-07,1.817158518790913e-07,2.859926668897215e-07,9.790241796033946e-08,2.2777384179680058e-07,1.8336764229295556e-07,1.2515282827976783e-07,1.4592002887096962e-07,1.4650423933449955e-07,1.3432235189619382e-07,8.657479682798883e-08,2.4690244214432144e-08,2.9070777143855428e-08,3.337641336784368e-08,9.083067502840303e-09,3.022847762921111e-08,0.0,0.0
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,8.769431447074309,0.0,29.69427483174813,121.76915311922139,24.301931550735176,0.0,85.8895097335539,22.17065334308246,0.0,17.642840949540528,0.0,0.0,0.0,23.50372704799696,0.0,29.445800938248276,45.04009308292645,125.4646853964718,29.629931715860856,6.179936605165043,126.27565830606731,0.009044093267140242,37.7918024902186,0.009043913418859973,24.662464570522367,113.64628423479928,0.009044638401452866,39.03861003726736,18.96064730504757,122.99103546645127,0.021105844360158704,31.414563800543565,8.215795818906848,38.52009091815556,8.21579544813387,6.161846035360526,8.215795776729976,39.78169396522966,6.161847192518704,25.252711470557536,18.939538473450213,34.09168643655644,18.93953981227489,105.09627151746676,25.252719712099818,70.17295645581399,38.993478430661426,0.0,3.997498399757837e-05,5.145683862069026e-05,6.527559043383332e-05,3.4934233554692074e-05,3.482907321539435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0390476148611794e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181048988972355e-07,2.4106636491193443e-07,2.1320815009386938e-07,1.192380155535552e-07,3.3225278482967207e-07,1.6557940867561722e-07,3.3168730482515455e-07,8.002031290292585e-08,1.4260596891096643e-07,2.4404959500600163e-07,9.352607286928355e-08,3.510393145870738e-07,3.269191295420583e-07,2.798632328198937e-07,1.4089646962477277e-07,8.677341847943073e-08,1.010373211447578e-07,1.2867178265815588e-07,7.603304408499196e-08,1.6510705352634869e-07,1.0369451283624334e-08,0.0
2020-05-10,0.0,0.0,0.2046883001594441,0.0,0.0,0.0,0.0,0.0,7.5341865902424825,56.68368839313571,21.37304986258735,0.0,93.00078770207267,6.215990131922288,0.0,1.8794828380334805,0.0,0.0,0.0,5.363712226672089,0.0,16.578418121314524,27.86866625288225,115.89913058889479,7.930525883675357,0.0,39.425492648344026,0.0,12.660469983928953,0.0,0.0,35.740145003252465,0.0,28.475801038739462,3.170378535605368,135.4303494082737,0.0,8.26243552368524,0.04588715851006367,46.83562469720225,0.04588618262036075,0.03441381778386266,0.04588699273382667,10.330937276170966,0.03441592267041039,8.228011682188141,6.171017930942002,29.565887395738198,6.171022969339964,51.811072661878434,8.228030399125794,78.95126606199501,25.25361024142811,0.0,0.0,0.0,0.0,5.121664465524312e-05,5.1169096942961705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8247598025724947e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9128400768473706e-07,3.137035385592225e-07,2.2600069452844476e-07,2.3237214715689653e-08,1.5109184998573284e-07,1.743903786748835e-07,2.395047077910788e-07,1.9235760614560346e-07,3.675194649952279e-07,8.367533453926757e-08,4.30949023037161e-08
2020-05-17,0.15205825547053803,0.0,0.15125165762635892,0.0003419542607657423,0.0,0.0,0.0,0.00034221774775756726,0.0,11.302077763225453,11.92419716839048,0.0,68.11927850611359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5046206644289,8.660370041133266,58.37768998062406,0.0,0.0,0.0,0.0,0.3073246490470247,0.0,0.0,0.0,0.0,22.264363816257738,0.0,96.94086098129986,0.0,0.0,0.0,28.612857580705334,0.0,0.0,0.0,0.0,0.0,0.05491025064186489,0.04118785078537926,15.192447608447633,0.04119707796130685,11.629990848629966,0.054928914060854345,64.01601326633838,8.22863182779302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3936302484160556e-08,5.803277831378814e-08,1.279157644315322e-07,2.3321730069035196e-07,3.5080219766536685e-07,2.0993118733502524e-07,1.8149089653618648e-07
2020-05-24,0.23384716261029886,0.0,0.05533399506282733,0.07651027542118838,0.0,0.0,0.0,0.07650544140841693,0.0,0.0,3.2656762561700483,0.0,28.93098837332355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.21855299829008,0.0,13.630805507536946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08430080238284,0.0,39.80183262097194,0.0,0.0,0.0,8.767569782653936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6721063895751365,0.0,0.0,0.0,30.254762939740942,0.05491112892065005,0.0,0.0,0.0,0.0,0.0,0.0,0.000311569230985633,5.119177102420072e-05,6.279266491190685e-06,7.474604106770962e-06,4.060465829008687e-06,3.1028670082717715e-06,6.659963892165109e-05,1.0254950543079983e-05,0.0,0.0,4.768402961388827e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5118380999167574e-07,3.568872700160774e-07
