Date,E02004140,E02004204,E02004193,E02004233,E02004161,E02004151,E02004138,E02004160,E02004192,E02004196,E02004189,E02004174,E02004169,E02004167,E02004165,E02004164,E02004163,E02004187,E02004218,E02004155,E02004159,E02004144,E02004149,E02004156,E02004170,E02004206,E02004133,E02004148,E02004197,E02004227,E02004234,E02004209,E02004213,E02004158,E02004201,E02004166,E02004202,E02004211,E02004180,E02004181,E02004205,E02004191,E02004184,E02004177,E02004215,E02004162,E02004230,E02004226,E02004129,E02004153,E02004216,E02004203,E02004154,E02004134,E02004168,E02004171,E02004208,E02004194,E02004142,E02004173,E02004152,E02004157,E02004198,E02004210,E02004150,E02004179,E02004141,E02004229,E02004207,E02004176,E02004147,E02004175,E02004190,E02004139,E02004183,E02004231,E02004199,E02004182,E02004223,E02004145,E02004214,E02004132,E02004221,E02004136,E02004219,E02004131,E02004135,E02004172,E02004178,E02004235,E02004146,E02004222,E02004143,E02004224,E02004195,E02004200,E02004220,E02004130,E02004217,E02004137,E02004186,E02004185,E02004212,E02004228,E02004188,E02004232,E02004225
2020-03-15,13.836935494387639,14.609511742632447,28.89399671393258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007101915670291209,0.007101899626581344,0.011836695508340182,0.02840764370587731,0.009469220893721618,0.007101915670291209,0.01183479477247585,0.011836526117152022,0.01657966528759663,0.007118318603754954,0.016571136564012826,0.018938698052922687,0.009469220893721618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564312636679353e-07,1.9232344775095157e-07,1.9255493304095506e-07,1.9232344775095157e-07,4.25488317158012e-07,2.564312636679353e-07,0.0,0.0,6.172196861228446e-33,7.39425274568786e-33,0.0,0.0,0.0,0.0,0.0,4.0291802403805107e-41,5.304107595621158e-41,2.8883552339949406e-40,5.281036331091252e-41,4.0292159610706166e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.323825011625199e-45,8.906307918484865e-45,8.37264168502928e-45,1.4015738284298924e-44,8.711611651049166e-45,2.010412057200876e-44,8.67206609251619e-45,8.379980996624204e-45,1.1636483402446453e-44,4.639240495213513e-46,4.2098451954129515e-46,4.831793099266335e-46,2.5460434669769354e-46,3.3806873237522528e-46,0.0,0.0,0.0,0.0,0.0,0.0,1.6241970321746144e-48,0.0,0.0
2020-03-16,13.617808132115389,14.755611108076506,29.033802216993152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014349383196382213,0.014349383270717563,0.02391553482498165,0.05739753276457629,0.019132510928509632,0.014349383196382213,0.023921652699967114,0.023915638660637017,0.033213162601775245,0.01389135993092402,0.03348189412489185,0.038264886179895145,0.019132510928509632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417503234142824e-06,8.455155540709908e-06,6.417503234142824e-06,8.556828022247687e-06,8.556670978857092e-06,6.315790350849513e-06,8.556670978857092e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800291536812843e-10,0.0,0.0,1.1195359688372713e-33,1.4927146984451967e-33,1.1195359658903767e-33,0.0,0.0,4.612509667962441e-41,6.005408793146467e-41,3.2383234963457948e-40,5.954137756912041e-41,4.612420925117216e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879575957546338e-44,3.9722339701908664e-44,4.094337191276497e-44,6.818809576111918e-44,4.0061111113833754e-44,9.428740560405829e-44,4.008582350835409e-44,4.09372388295918e-44,5.340318499168719e-44,0.0,0.0,0.0,0.0,0.0,2.9894857497564105e-47,2.3913719175077824e-47,7.167720300514409e-47,4.18548109478152e-47,1.7916646706255033e-47,2.984969632111526e-47,0.0,0.0,0.0
2020-03-17,13.538487357435631,14.80134537315194,29.073863498671958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019223480838384495,0.019223501038595207,0.03203871964683049,0.07689394703161528,0.025631307784512662,0.019223480838384495,0.0320530764051741,0.0320391347306408,0.04431786181898073,0.018306014943365846,0.04485478862289716,0.051262029536141285,0.025631307784512662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635004717392144e-05,2.1237151621575663e-05,1.635004717392144e-05,2.1799804816834022e-05,2.180006289856191e-05,1.5785356866813727e-05,2.180006289856191e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3530466551799715e-08,2.0105553890924915e-08,0.0,0.0,3.460244974482299e-33,4.6136600276566707e-33,3.460244970718204e-33,0.0,0.0,3.996356132617472e-41,5.130457725385385e-41,2.731272804516834e-40,5.058891026755344e-41,3.9961376936829407e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432024790408428e-44,6.665669701813169e-44,6.971496788954477e-44,1.160153480101514e-43,6.756349470077965e-44,1.5951601859293652e-43,6.766132175488152e-44,6.9693783128837e-44,9.003563302232935e-44,0.0,0.0,0.0,0.0,0.0,1.0437097468015496e-46,8.35044062046182e-47,2.439753914433684e-46,1.461135458661251e-46,6.268587388418065e-47,1.016060759968166e-46,0.0,6.569123246609859e-50,5.629097224042223e-50
2020-03-18,13.88424790839444,14.544287196962706,28.814178101176427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01615829647787958,0.016158343965561334,0.026929726356312578,0.06463324179492089,0.021544395303839482,0.01615829647787958,0.026951144698935833,0.026930494129799306,0.03698286016615322,0.014925920048558956,0.03770269178171907,0.043087684423613125,0.021544395303839482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5509938025242024e-05,3.2892132996323836e-05,2.5509938025242024e-05,3.40123227360202e-05,3.4013250700322685e-05,2.438502624700384e-05,3.4013250700322685e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.193359784186743e-08,4.704953864694726e-08,0.0,0.0,5.884021261518304e-33,7.845361678385083e-33,5.884021258633333e-33,6.425878050249159e-39,2.0835771956647467e-39,4.597022123258506e-43,0.0,0.0,0.0,4.563551319725683e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.280387350368992e-44,7.642995307387965e-44,8.115960971688764e-44,1.3495373434299812e-43,7.787964907121e-44,1.8447421912009004e-43,7.806010933827557e-44,8.112211959200398e-44,1.037475583945627e-43,0.0,0.0,0.0,0.0,0.0,1.8535533837565175e-46,1.483066623098997e-46,4.296316520434843e-46,2.5947966340705415e-46,1.1140367094080746e-46,1.7892661337289145e-46,0.0,1.964703726305798e-49,1.679428077220357e-49
2020-03-19,15.113357215754082,13.662793471830406,27.938699313106717,1.3411996778328192,0.8045985274347459,1.0729610139339696,0.8054653178279775,1.6115713713412978,0.8064740851002916,0.805222703385565,0.8047746292244928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8580113463748424e-05,3.644722647025869e-05,2.8580113463748424e-05,3.8104905393682756e-05,3.810681795166455e-05,2.691457901048923e-05,3.810681795166455e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.3761800270446514e-08,7.87685209887569e-08,0.0,0.0,7.398492989257424e-33,9.864657148964912e-33,7.398492990990394e-33,1.9801752976438727e-38,7.067337684471463e-39,0.0,0.0,0.0,0.0,0.0,1.1953598857161585e-42,1.5168311106233633e-42,1.3169263585949715e-42,1.0416430900721013e-42,2.790608747995302e-42,9.841448238728559e-43,8.526346065684692e-43,1.1460581420061659e-42,1.1424525376240563e-42,8.592278605380735e-43,1.2269573453629968e-42,9.357866461940693e-43,1.4949175909550075e-42,1.4265989084285851e-42,2.2825274847854895e-42,1.2091927992145103e-42,9.228588390490259e-43,3.5783193851503535e-44,3.9813552707198444e-44,4.504269194681969e-44,7.465935981523154e-44,4.1495680093274823e-44,9.964519597130378e-44,4.174410060362366e-44,4.499331679436426e-44,5.51988055304287e-44,0.0,0.0,0.0,0.0,0.0,2.450725178017975e-46,1.9610053670562986e-46,5.627186657800176e-46,3.4306706102157607e-46,1.4740932100138667e-46,2.3435576045278037e-46,0.0,3.7628164760325e-49,3.212872936955389e-49
2020-03-20,17.723455489123864,11.814728237261942,26.114478476085008,4.54426662502965,2.7267210129068116,3.635414553401455,2.677302458272168,5.403657737145255,2.6770054294726497,2.726174282176149,2.726596139881313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037977430160521567,0.0007195963193541552,0.001015670530698279,0.0010346065856911754,0.00038085692349274213,0.0020576917836122523,0.0006684046114275325,0.0007823006516583738,0.0007948296316435934,0.0007965473717766712,0.00038085692349274213,0.0005078786513629285,0.00038085692349274213,0.0003928057346672069,0.0012695230783091407,0.00040183650103531847,1.411976484254978e-05,1.7044020984254588e-05,1.411976484254978e-05,1.8823326411023494e-05,1.8826353123399637e-05,1.2330460681876541e-05,1.8826353123399637e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.945329450800943e-08,1.0105769558888446e-07,5.843508222476018e-33,0.0,5.578170691602931e-33,7.437560442307248e-33,5.578170704300633e-33,3.9838944036660814e-38,1.477941076059437e-38,0.0,0.0,0.0,0.0,0.0,8.354049419530754e-42,1.0445227698951054e-41,8.261155426380213e-42,6.131966033358179e-42,1.874594800299709e-41,6.19437464765646e-42,6.312568442819295e-42,8.419123601157088e-42,8.418108943280151e-42,6.314078211463972e-42,8.338687692060276e-42,6.231544480446204e-42,1.0464713763385219e-41,1.0522231843631525e-41,1.683553850413897e-41,8.360170038792008e-42,6.255102715064796e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1029438026031205e-46,1.682980956002722e-46,4.720915859026064e-46,2.9436050030583475e-46,1.2672086224746986e-46,1.9661845715904207e-46,0.0,5.583423985379661e-49,4.762398454098256e-49
2020-03-21,21.84824571265252,8.928566626540174,23.28088330881334,9.505425997630969,5.70404322022355,7.604341007864996,5.5594759010785575,11.258438035017537,5.555925336596552,5.7008015735257835,5.703213205246455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024021518833324583,0.003901546446213661,0.006406077444389792,0.00638033847016893,0.0024022632363623515,0.012778847953883428,0.003960829584918012,0.004779238247173694,0.0047615141912250745,0.0047621517950026835,0.0024022632363623515,0.0032030738477814187,0.0024022632363623515,0.002373257660057278,0.008007544121207834,0.00237680563520299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.626154733205544e-08,8.041303552859388e-08,4.11437236375986e-31,4.12762560497224e-31,0.0,0.0,0.0,6.176296671213582e-38,2.365747877373768e-38,0.0,0.0,0.0,0.0,0.0,2.0852890171330822e-41,2.601331262427373e-41,2.0260652657965257e-41,1.486739473393451e-41,4.650315198121975e-41,1.5200680966679967e-41,1.589231485126474e-41,2.1171946942402902e-41,2.1178660946397987e-41,1.5879042594425332e-41,2.0724238655114696e-41,1.5436893958224478e-41,2.612795914380467e-41,2.647608170788682e-41,4.23617195563706e-41,2.0833544808704007e-41,1.5539251082603649e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3050779827496443e-44,1.0860772728140649e-44,1.303054987182366e-44,6.508201387630553e-45,8.683587445953752e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.017058265226877e-49,5.123270519507062e-49
2020-03-22,26.747257771428917,5.557584895460361,19.99742341978196,15.362485209272872,9.219326610029185,12.28998540113661,8.935799486544077,18.141474902801143,8.926371790712214,9.211460137676408,9.217271772848738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005897506417589795,0.00930229911060447,0.015719757053078088,0.015594702357758495,0.005894915877892267,0.03127272331305272,0.009610706730149653,0.011661636313162561,0.011576895553818085,0.011574112848354972,0.005894915877892267,0.007859863027494824,0.005894915877892267,0.0057792419201201555,0.01964971959297423,0.005765176395997436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4183896920461777e-06,2.5637922690346328e-06,2.56263772057537e-06,2.5637922690346328e-06,5.976995032493018e-06,3.4183896920461777e-06,0.0,0.0,1.1693182639962843e-30,1.1920752536078783e-30,0.0,0.0,0.0,7.076098249095009e-38,2.8395788261081125e-38,0.0,0.0,0.0,0.0,0.0,3.7596279396907935e-41,4.683610419396845e-41,3.6140301687210314e-41,2.6332073357061725e-41,8.353012192587567e-41,2.712419078240444e-41,2.879841913801028e-41,3.8340244831058917e-41,3.8362311175997107e-41,2.875613215251536e-41,3.726704302115697e-41,2.770458461048567e-41,4.711391233375563e-41,4.796191279474054e-41,7.673911553061693e-41,3.7524101532309767e-41,2.7936046114169684e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1326507705370906e-44,3.4943109069140064e-44,4.1577976953330014e-44,2.0976150576993345e-44,2.7961619303065225e-44,0.0,0.0,0.0,0.0,0.0,0.0,8.474773902360528e-48,2.3161858813379825e-49,1.9496826376709292e-49
2020-03-23,31.007522073233957,2.677018525287594,17.227612537062534,20.431416426407125,12.262017036334406,16.345124587358494,11.834591055398151,24.070950255124746,11.816983732214688,12.248080751305643,12.258331340297955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01052417387038524,0.01629540727065786,0.028043548966362443,0.02775218901119926,0.010516393799274921,0.05569573199065201,0.01702530470631449,0.02073114057913006,0.02053447123242414,0.02052471207795287,0.010516393799274921,0.014021634670034549,0.010516393799274921,0.010260956486485603,0.03505464599758309,0.010210747677151785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052563983049829e-05,7.89422987287372e-06,7.895895444516699e-06,7.89422987287372e-06,1.8028435707256835e-05,1.052563983049829e-05,0.0,0.0,2.2621637628906344e-30,2.3242744202149356e-30,0.0,0.0,0.0,3.711799480385012e-38,1.794670600494509e-38,0.0,0.0,0.0,0.0,0.0,5.209853562281362e-41,6.48063464491617e-41,4.949814999191508e-41,3.577957863774384e-41,1.1528273083627106e-40,3.716431070892509e-41,4.012574965141607e-41,5.338276909069767e-41,5.342830126506084e-41,4.003959216459055e-41,5.149625502124796e-41,3.820054492969359e-41,6.529806265676544e-41,6.680396975315872e-41,1.068865408051712e-40,5.194252251605532e-41,3.8591723600615e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.398409579272095e-44,7.148303954141347e-44,8.476482137636514e-44,4.2941878183296256e-44,5.722063716939898e-44,0.0,0.0,0.0,0.0,0.0,0.0,4.231749760187556e-47,0.0,0.0
2020-03-24,33.638737396800444,0.8072351172932224,15.422980348815374,23.609937477607343,14.170137014717305,18.88793275908422,13.704015799976148,27.83702635129884,13.678700505545564,14.151197831452617,14.16505873250362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014418978981865595,0.02186250665719426,0.038408941296038016,0.0379059926003651,0.014403516012378027,0.07613907828976645,0.02313569115067257,0.02828286510523708,0.027944263589253546,0.02792359972798085,0.014403516012378027,0.019204108451185666,0.014403516012378027,0.013978970171792676,0.048011720041260086,0.013871977668854864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1154251600415264e-05,1.5865688700311455e-05,1.587363952431852e-05,1.5865688700311455e-05,3.590216772651746e-05,2.1154251600415264e-05,0.0,0.0,3.366364485897475e-30,3.4841736761431786e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.856828806802534e-41,6.022661360392534e-41,4.500224465826586e-41,3.1964517860988017e-41,1.0655408627333726e-40,3.381787424345283e-41,3.783535219589546e-41,5.026178423833595e-41,5.033353089176229e-41,3.7701036102462505e-41,4.772066781307389e-41,3.5238379352901307e-41,6.08941631390449e-41,6.294617628877371e-41,1.0071427965482623e-40,4.831313700580341e-41,3.574105436862926e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3063939693849046e-43,1.1182341760307383e-43,1.32214147836606e-43,6.721664402614522e-44,8.953827724825246e-44,0.0,0.0,0.0,0.0,0.0,0.0,9.935376143103432e-47,0.0,0.0
