Date,OriginalCases
2020-03-20,378.25679487113285
2020-03-27,1258.7164286790055
2020-04-03,2204.9234385757227
2020-04-10,2944.5320120906003
2020-04-17,2404.940631551698
2020-04-24,2627.1861959833886
2020-05-01,1805.1447918339866
2020-05-08,870.9517061183773
2020-05-15,398.959318315139
2020-05-22,140.10863706671196
2020-05-29,18.636485267421477
2020-06-05,0.08814733162534295
2020-06-12,0.01235524805336073
2020-06-19,0.030447505110251294
2020-06-26,1.8258288413625055
2020-07-03,38.33758714552021
2020-07-10,9.84616689084773
2020-07-17,47.15424577699772
2020-07-24,10.539047176317357
2020-07-31,0.10685600790570601
2020-08-07,4.501551985985401
2020-08-14,109.43711835625375
2020-08-21,189.93597899289833
2020-08-28,101.33304087777572
2020-09-04,73.4907976236865
2020-09-11,92.73493670597632
2020-09-18,933.8911871170194
2020-09-25,4273.875712493872
2020-10-02,7556.392032821693
2020-10-09,6812.481365634317
2020-10-16,6346.213287131202
2020-10-23,7246.67821541625
2020-10-30,8639.246005319623
2020-11-06,10787.8803415395
2020-11-13,9092.942282800097
2020-11-20,7419.196045221752
2020-11-27,6537.673945619884
2020-12-04,7487.335337704113
2020-12-11,11099.525384399316
2020-12-18,11930.061419437072
2020-12-25,15557.439008863716
2021-01-01,19885.15926113218
2021-01-08,17644.969975662014
2021-01-15,12171.662602430475
2021-01-22,7557.360128142301
2021-01-29,5292.896718463008
2021-02-05,4267.974479235649
2021-02-12,2821.6366829090994
2021-02-19,1938.4888839784492
2021-02-26,1444.577936892533
2021-03-05,1359.01370127434
2021-03-12,910.4132704128798
2021-03-19,771.4061638397034
2021-03-26,463.8738070233036
2021-04-02,280.6925923097447
2021-04-09,286.5478479044142
2021-04-16,253.83196634799992
2021-04-23,321.3498990701222
2021-04-30,48.45607604688691
